geocode,valor,data
2800670,1,31/12/1999
3501004,1,31/12/1999
3530003,1,31/12/1999
3530300,3,31/12/1999
3532801,1,31/12/1999
3539509,1,31/12/1999
3544905,1,31/12/1999
3545803,1,31/12/1999
3547809,1,31/12/1999
3548500,12,31/12/1999
3548708,1,31/12/1999
3549805,17,31/12/1999
3557105,1,31/12/1999
4314902,1,31/12/1999
1100015,4,31/12/2000
1100023,384,31/12/2000
1100049,17,31/12/2000
1100106,70,31/12/2000
1100114,8,31/12/2000
1100122,71,31/12/2000
1100155,141,31/12/2000
1100189,19,31/12/2000
1100205,2623,31/12/2000
1100304,291,31/12/2000
1100338,4,31/12/2000
1100601,2,31/12/2000
1100809,7,31/12/2000
1101104,1,31/12/2000
1101401,3,31/12/2000
1101484,3,31/12/2000
1200013,3,31/12/2000
1200104,14,31/12/2000
1200179,8,31/12/2000
1200203,4,31/12/2000
1200252,11,31/12/2000
1200385,4,31/12/2000
1200401,2060,31/12/2000
1200401,133,31/12/2000
1200450,6,31/12/2000
1200500,5,31/12/2000
1200807,3,31/12/2000
1300102,4,31/12/2000
1300201,2,31/12/2000
1301100,23,31/12/2000
1301506,4,31/12/2000
1301902,18,31/12/2000
1302504,16,31/12/2000
1302603,6389,31/12/2000
1302900,2,31/12/2000
1303007,2,31/12/2000
1303205,19,31/12/2000
1303502,8,31/12/2000
1303536,12,31/12/2000
1303569,1,31/12/2000
1304005,1,31/12/2000
1304203,2,31/12/2000
1304237,1,31/12/2000
1304302,3,31/12/2000
1400027,3,31/12/2000
1400050,30,31/12/2000
1400100,7095,31/12/2000
1400159,8,31/12/2000
1400209,17,31/12/2000
1400282,2,31/12/2000
1400308,19,31/12/2000
1400407,28,31/12/2000
1400456,35,31/12/2000
1400472,3,31/12/2000
1400605,4,31/12/2000
1500131,12,31/12/2000
1500602,1,31/12/2000
1500800,632,31/12/2000
1500909,37,31/12/2000
1501204,192,31/12/2000
1501303,92,31/12/2000
1501402,5983,31/12/2000
1501451,1,31/12/2000
1501501,316,31/12/2000
1501576,32,31/12/2000
1501709,17,31/12/2000
1501782,3,31/12/2000
1501808,7,31/12/2000
1502103,277,31/12/2000
1502202,25,31/12/2000
1502400,338,31/12/2000
1502608,9,31/12/2000
1502707,28,31/12/2000
1502756,3,31/12/2000
1502772,1,31/12/2000
1502954,1,31/12/2000
1503101,1,31/12/2000
1503408,3,31/12/2000
1503457,1,31/12/2000
1503507,3,31/12/2000
1503754,2,31/12/2000
1504059,2,31/12/2000
1504208,152,31/12/2000
1504422,225,31/12/2000
1505007,1,31/12/2000
1505106,2,31/12/2000
1505403,2,31/12/2000
1505437,56,31/12/2000
1505486,1,31/12/2000
