geocode,valor,data
1100023,2,31/12/2007
1100049,5,31/12/2007
1100114,21,31/12/2007
1100122,9,31/12/2007
1100155,8,31/12/2007
1100288,1,31/12/2007
1100304,5,31/12/2007
1100379,2,31/12/2007
1100908,1,31/12/2007
1101401,1,31/12/2007
1101757,2,31/12/2007
1200401,1,31/12/2007
1505536,2,31/12/2007
1508035,1,31/12/2007
1706100,1,31/12/2007
1721000,1,31/12/2007
2100550,2,31/12/2007
2102325,1,31/12/2007
2208007,6,31/12/2007
2301000,8,31/12/2007
2301406,8,31/12/2007
2302107,5,31/12/2007
2302909,1,31/12/2007
2303204,8,31/12/2007
2303501,1,31/12/2007
2305407,3,31/12/2007
2307502,1,31/12/2007
2307650,1,31/12/2007
2309805,5,31/12/2007
2310100,3,31/12/2007
2311603,1,31/12/2007
2312304,2,31/12/2007
2400208,1,31/12/2007
2401404,1,31/12/2007
2403251,1,31/12/2007
2403608,30,31/12/2007
2404507,1,31/12/2007
2407104,2,31/12/2007
2407203,1,31/12/2007
2407807,1,31/12/2007
2408102,100,31/12/2007
2408201,2,31/12/2007
2408953,1,31/12/2007
2409803,4,31/12/2007
2410405,75,31/12/2007
2412203,1,31/12/2007
2413201,2,31/12/2007
2414407,1,31/12/2007
2500304,3,31/12/2007
2501807,2,31/12/2007
2501906,2,31/12/2007
2503209,4,31/12/2007
2503605,2,31/12/2007
2504355,1,31/12/2007
2506301,1,31/12/2007
2506806,1,31/12/2007
2506905,52,31/12/2007
2507002,1,31/12/2007
2507101,4,31/12/2007
2507309,2,31/12/2007
2508901,8,31/12/2007
2509057,2,31/12/2007
2509206,1,31/12/2007
2509305,2,31/12/2007
2511202,45,31/12/2007
2516201,1,31/12/2007
2517001,4,31/12/2007
2600054,10,31/12/2007
2600302,6,31/12/2007
2600401,35,31/12/2007
2600609,1,31/12/2007
2600708,26,31/12/2007
2600807,10,31/12/2007
2600906,97,31/12/2007
2601003,3,31/12/2007
2601300,46,31/12/2007
2601409,294,31/12/2007
2601508,28,31/12/2007
2601904,1,31/12/2007
2602100,14,31/12/2007
2602209,30,31/12/2007
2602308,10,31/12/2007
2602704,18,31/12/2007
2602902,72,31/12/2007
2603108,11,31/12/2007
2603454,24,31/12/2007
2603504,11,31/12/2007
2603603,3,31/12/2007
2603801,1,31/12/2007
2604007,56,31/12/2007
2604106,55,31/12/2007
2604205,66,31/12/2007
2604403,21,31/12/2007
2604502,14,31/12/2007
2604601,6,31/12/2007
2604700,55,31/12/2007
2604809,61,31/12/2007
2605004,41,31/12/2007
2605202,503,31/12/2007
2605509,27,31/12/2007
2605905,2,31/12/2007
2606002,2,31/12/2007
2606101,35,31/12/2007
2606200,19,31/12/2007
2606408,64,31/12/2007
2606507,22,31/12/2007
2606804,2,31/12/2007
2607208,10,31/12/2007
2607653,181,31/12/2007
2607752,1,31/12/2007
2607802,144,31/12/2007
2607901,390,31/12/2007
2607950,27,31/12/2007
2608206,25,31/12/2007
2608453,6,31/12/2007
2608701,1,31/12/2007
2608909,2,31/12/2007
2609006,90,31/12/2007
2609105,77,31/12/2007
2609204,3,31/12/2007
2609402,3,31/12/2007
2609501,91,31/12/2007
2609600,18,31/12/2007
2609709,17,31/12/2007
2610004,96,31/12/2007
2610103,1,31/12/2007
2610509,6,31/12/2007
2610608,104,31/12/2007
2610707,52,31/12/2007
2611002,2,31/12/2007
2611309,34,31/12/2007
2611408,35,31/12/2007
2611507,16,31/12/2007
2611606,42,31/12/2007
2611705,23,31/12/2007
2611804,4,31/12/2007
2612000,9,31/12/2007
2612307,18,31/12/2007
2612406,1,31/12/2007
2612505,5,31/12/2007
2612703,1,31/12/2007
2613206,76,31/12/2007
2613305,53,31/12/2007
2613404,11,31/12/2007
2613800,13,31/12/2007
2614857,16,31/12/2007
2615003,1,31/12/2007
2615102,6,31/12/2007
2615300,266,31/12/2007
2615409,5,31/12/2007
2615508,25,31/12/2007
2616308,13,31/12/2007
2616407,174,31/12/2007
2700201,1,31/12/2007
2701209,3,31/12/2007
2701506,7,31/12/2007
2702108,1,31/12/2007
2702207,1,31/12/2007
2702306,1,31/12/2007
2702900,23,31/12/2007
2703205,2,31/12/2007
2703908,2,31/12/2007
2704302,49,31/12/2007
2704401,22,31/12/2007
2705606,4,31/12/2007
2705705,3,31/12/2007
2705903,2,31/12/2007
2706208,1,31/12/2007
2706406,3,31/12/2007
2706901,8,31/12/2007
2707305,4,31/12/2007
2707701,16,31/12/2007
2708105,3,31/12/2007
2708204,3,31/12/2007
2708402,1,31/12/2007
2708600,59,31/12/2007
2708709,2,31/12/2007
2709301,10,31/12/2007
2800209,16,31/12/2007
2800704,13,31/12/2007
2801702,1,31/12/2007
2801900,2,31/12/2007
2802304,3,31/12/2007
2802403,1,31/12/2007
2802700,8,31/12/2007
2802809,117,31/12/2007
2802908,4,31/12/2007
2803203,10,31/12/2007
2803401,4,31/12/2007
2803500,1,31/12/2007
2803609,49,31/12/2007
2803807,3,31/12/2007
2804003,31,31/12/2007
2804102,50,31/12/2007
2804300,4,31/12/2007
2804508,2,31/12/2007
2805000,1,31/12/2007
2805208,3,31/12/2007
2805307,38,31/12/2007
2805505,3,31/12/2007
2805604,3,31/12/2007
2805703,9,31/12/2007
2806008,1,31/12/2007
2806107,57,31/12/2007
2806404,45,31/12/2007
2806503,109,31/12/2007
2806701,164,31/12/2007
2806909,23,31/12/2007
2807204,92,31/12/2007
2807303,28,31/12/2007
2807501,51,31/12/2007
2900108,40,31/12/2007
2900306,57,31/12/2007
2900405,25,31/12/2007
2900603,225,31/12/2007
2900702,515,31/12/2007
2900801,1,31/12/2007
2900900,5,31/12/2007
2901007,2,31/12/2007
2901106,45,31/12/2007
2901205,9,31/12/2007
2901304,6,31/12/2007
2901353,2,31/12/2007
2901809,35,31/12/2007
2901908,49,31/12/2007
2901957,189,31/12/2007
2902054,43,31/12/2007
2902203,131,31/12/2007
2902252,85,31/12/2007
2902302,110,31/12/2007
2902500,5,31/12/2007
2902609,2,31/12/2007
2902807,134,31/12/2007
2903003,10,31/12/2007
2903102,98,31/12/2007
2903201,54,31/12/2007
2903300,21,31/12/2007
2903409,158,31/12/2007
2903706,210,31/12/2007
2903953,2,31/12/2007
2904001,20,31/12/2007
2904308,1,31/12/2007
2904605,38,31/12/2007
2904704,12,31/12/2007
2904803,3,31/12/2007
2904852,193,31/12/2007
2904902,575,31/12/2007
