geocode,valor,data
11,57,31/12/2007
11,66,31/12/2008
11,68,31/12/2009
11,74,31/12/2010
11,19,31/12/2011
11,27,31/12/2012
11,23,31/12/2013
11,35,31/12/2014
11,41,31/12/2015
11,51,31/12/2016
11,75,31/12/2017
11,66,31/12/2018
11,19,31/12/2019
11,20,31/12/2020
11,17,31/12/2021
11,37,31/12/2022
11,16,31/12/2023
12,1,31/12/2007
12,2,31/12/2008
12,1,31/12/2019
12,1,31/12/2022
13,2,31/12/2015
13,1,31/12/2021
14,1,31/12/2017
14,3,31/12/2018
15,3,31/12/2007
15,12,31/12/2008
15,40,31/12/2009
15,5,31/12/2010
15,26,31/12/2011
15,5,31/12/2012
15,14,31/12/2013
15,27,31/12/2014
15,14,31/12/2015
15,12,31/12/2016
15,17,31/12/2017
15,8,31/12/2018
15,22,31/12/2019
15,7,31/12/2020
15,10,31/12/2021
15,19,31/12/2022
15,16,31/12/2023
16,1,31/12/2008
16,1,31/12/2010
16,1,31/12/2012
16,1,31/12/2017
16,2,31/12/2018
16,4,31/12/2021
16,1,31/12/2023
17,2,31/12/2007
17,2,31/12/2008
17,2,31/12/2009
17,1,31/12/2011
17,5,31/12/2013
17,8,31/12/2014
17,2,31/12/2015
17,1,31/12/2016
17,3,31/12/2017
17,4,31/12/2018
17,2,31/12/2021
17,2,31/12/2022
17,5,31/12/2023
21,3,31/12/2007
21,28,31/12/2008
21,84,31/12/2009
21,79,31/12/2010
21,65,31/12/2011
21,63,31/12/2012
21,9,31/12/2013
21,18,31/12/2014
21,17,31/12/2015
21,9,31/12/2016
21,79,31/12/2017
21,54,31/12/2018
21,12,31/12/2019
21,7,31/12/2020
21,20,31/12/2021
21,21,31/12/2022
21,24,31/12/2023
22,6,31/12/2007
22,2,31/12/2008
22,2,31/12/2009
22,1,31/12/2010
22,6,31/12/2011
22,4,31/12/2012
22,2,31/12/2013
22,1,31/12/2015
22,2,31/12/2017
22,1,31/12/2018
22,1,31/12/2020
22,3,31/12/2021
22,1,31/12/2022
22,4,31/12/2023
23,47,31/12/2007
23,89,31/12/2008
23,118,31/12/2009
23,73,31/12/2010
23,28,31/12/2011
23,23,31/12/2012
23,18,31/12/2013
23,23,31/12/2014
23,38,31/12/2015
23,23,31/12/2016
23,39,31/12/2017
23,37,31/12/2018
23,26,31/12/2019
23,19,31/12/2020
23,29,31/12/2021
23,22,31/12/2022
23,17,31/12/2023
24,224,31/12/2007
24,74,31/12/2008
24,88,31/12/2009
24,49,31/12/2010
24,23,31/12/2011
24,26,31/12/2012
24,32,31/12/2013
24,15,31/12/2014
24,27,31/12/2015
24,27,31/12/2016
24,23,31/12/2017
24,11,31/12/2018
24,29,31/12/2019
24,17,31/12/2020
24,41,31/12/2021
24,25,31/12/2022
24,22,31/12/2023
25,138,31/12/2007
25,118,31/12/2008
25,68,31/12/2009
25,71,31/12/2010
25,164,31/12/2011
25,169,31/12/2012
25,34,31/12/2013
25,105,31/12/2014
25,87,31/12/2015
25,126,31/12/2016
25,125,31/12/2017
25,46,31/12/2018
25,30,31/12/2019
25,38,31/12/2020
25,66,31/12/2021
25,90,31/12/2022
25,79,31/12/2023
26,3996,31/12/2007
26,2705,31/12/2008
26,1327,31/12/2009
26,456,31/12/2010
26,335,31/12/2011
26,280,31/12/2012
26,277,31/12/2013
26,304,31/12/2014
26,391,31/12/2015
26,227,31/12/2016
26,240,31/12/2017
26,177,31/12/2018
26,157,31/12/2019
26,126,31/12/2020
26,202,31/12/2021
26,150,31/12/2022
26,143,31/12/2023
27,231,31/12/2007
27,115,31/12/2008
27,42,31/12/2009
27,90,31/12/2010
27,64,31/12/2011
27,51,31/12/2012
27,23,31/12/2013
27,25,31/12/2014
27,44,31/12/2015
27,125,31/12/2016
27,78,31/12/2017
27,102,31/12/2018
27,87,31/12/2019
27,39,31/12/2020
27,70,31/12/2021
27,45,31/12/2022
27,75,31/12/2023
28,946,31/12/2007
28,79,31/12/2008
28,99,31/12/2009
28,61,31/12/2010
28,93,31/12/2011
28,80,31/12/2012
28,95,31/12/2013
28,89,31/12/2014
28,149,31/12/2015
28,129,31/12/2016
28,97,31/12/2017
28,130,31/12/2018
28,108,31/12/2019
28,60,31/12/2020
28,73,31/12/2021
28,111,31/12/2022
28,100,31/12/2023
29,21058,31/12/2007
29,2532,31/12/2008
29,772,31/12/2009
29,702,31/12/2010
29,747,31/12/2011
29,622,31/12/2012
29,695,31/12/2013
29,840,31/12/2014
29,729,31/12/2015
29,425,31/12/2016
29,493,31/12/2017
29,341,31/12/2018
29,271,31/12/2019
29,193,31/12/2020
29,243,31/12/2021
29,297,31/12/2022
29,544,31/12/2023
31,1206,31/12/2007
31,3192,31/12/2008
31,11947,31/12/2009
31,22210,31/12/2010
31,11776,31/12/2011
31,5204,31/12/2012
31,3646,31/12/2013
31,3600,31/12/2014
31,3649,31/12/2015
31,2888,31/12/2016
31,1966,31/12/2017
31,2059,31/12/2018
31,1774,31/12/2019
31,1035,31/12/2020
31,1278,31/12/2021
31,1414,31/12/2022
31,1627,31/12/2023
32,3328,31/12/2007
32,2533,31/12/2008
32,1990,31/12/2009
32,1631,31/12/2010
32,753,31/12/2011
32,525,31/12/2012
32,486,31/12/2013
32,396,31/12/2014
32,410,31/12/2015
32,341,31/12/2016
32,288,31/12/2017
32,437,31/12/2018
32,487,31/12/2019
32,3,31/12/2020
33,134,31/12/2007
33,184,31/12/2008
33,143,31/12/2009
33,110,31/12/2010
33,74,31/12/2011
33,72,31/12/2012
33,78,31/12/2013
33,112,31/12/2014
33,107,31/12/2015
33,85,31/12/2016
33,104,31/12/2017
33,44,31/12/2018
33,48,31/12/2019
33,29,31/12/2020
33,24,31/12/2021
33,129,31/12/2022
33,97,31/12/2023
35,1515,31/12/2007
35,1435,31/12/2008
35,1416,31/12/2009
35,1094,31/12/2010
35,1146,31/12/2011
35,1120,31/12/2012
35,888,31/12/2013
35,755,31/12/2014
35,566,31/12/2015
35,546,31/12/2016
35,586,31/12/2017
35,573,31/12/2018
35,417,31/12/2019
35,203,31/12/2020
35,227,31/12/2021
35,200,31/12/2022
35,202,31/12/2023
41,302,31/12/2007
41,165,31/12/2008
41,267,31/12/2009
41,67,31/12/2010
41,42,31/12/2011
41,53,31/12/2012
41,34,31/12/2013
41,34,31/12/2014
41,31,31/12/2015
41,47,31/12/2016
41,52,31/12/2017
41,49,31/12/2018
41,54,31/12/2019
41,14,31/12/2020
41,15,31/12/2021
41,21,31/12/2022
41,18,31/12/2023
42,8,31/12/2007
42,5,31/12/2008
42,5,31/12/2009
42,7,31/12/2010
42,4,31/12/2011
42,7,31/12/2012
42,5,31/12/2013
42,13,31/12/2014
42,10,31/12/2015
42,4,31/12/2016
42,9,31/12/2017
42,12,31/12/2018
42,8,31/12/2019
42,7,31/12/2020
42,15,31/12/2021
42,9,31/12/2022
42,13,31/12/2023
43,4,31/12/2007
43,7,31/12/2008
43,1,31/12/2009
43,3,31/12/2010
43,3,31/12/2011
43,1,31/12/2012
43,1,31/12/2013
43,4,31/12/2014
43,2,31/12/2015
43,5,31/12/2016
43,1,31/12/2017
43,2,31/12/2018
43,1,31/12/2019
43,1,31/12/2020
43,3,31/12/2021
43,2,31/12/2023
50,5,31/12/2007
50,3,31/12/2008
50,5,31/12/2009
50,8,31/12/2010
50,9,31/12/2011
50,4,31/12/2012
50,3,31/12/2013
50,10,31/12/2014
50,13,31/12/2015
50,10,31/12/2016
50,8,31/12/2017
50,9,31/12/2018
50,16,31/12/2019
50,5,31/12/2020
50,3,31/12/2021
50,3,31/12/2022
50,3,31/12/2023
51,19,31/12/2007
51,17,31/12/2008
51,5,31/12/2009
51,9,31/12/2010
51,40,31/12/2011
51,20,31/12/2012
51,50,31/12/2013
51,24,31/12/2014
51,28,31/12/2015
51,30,31/12/2016
51,27,31/12/2017
51,11,31/12/2018
51,20,31/12/2019
51,13,31/12/2020
51,12,31/12/2021
51,11,31/12/2022
51,9,31/12/2023
52,22,31/12/2007
52,5,31/12/2008
52,21,31/12/2009
52,12,31/12/2010
52,9,31/12/2011
52,4,31/12/2012
52,13,31/12/2013
52,15,31/12/2014
52,18,31/12/2015
52,11,31/12/2016
52,12,31/12/2017
52,12,31/12/2018
52,3,31/12/2019
52,19,31/12/2020
52,16,31/12/2021
52,14,31/12/2022
52,2,31/12/2023
53,23,31/12/2007
53,15,31/12/2008
53,13,31/12/2009
53,7,31/12/2010
53,7,31/12/2011
53,6,31/12/2012
53,3,31/12/2013
53,14,31/12/2014
53,6,31/12/2015
53,18,31/12/2016
53,26,31/12/2017
53,24,31/12/2018
53,16,31/12/2019
53,16,31/12/2020
53,21,31/12/2021
53,15,31/12/2022
53,8,31/12/2023
