geocode,valor,data
1303809,1,31/12/2000
1304062,1,31/12/2000
1400100,11,31/12/2000
1400456,3,31/12/2000
1501303,25,31/12/2000
1501402,65,31/12/2000
1502103,6,31/12/2000
1503507,1,31/12/2000
1504059,17,31/12/2000
1504604,1,31/12/2000
1505536,2,31/12/2000
1506609,1,31/12/2000
1506807,29,31/12/2000
1507300,1,31/12/2000
1508100,1,31/12/2000
1702109,37,31/12/2000
1710904,1,31/12/2000
1712504,1,31/12/2000
1713304,1,31/12/2000
1713601,1,31/12/2000
1716109,11,31/12/2000
1718204,26,31/12/2000
1718758,1,31/12/2000
1720200,1,31/12/2000
1720903,1,31/12/2000
1721000,57,31/12/2000
1721208,21,31/12/2000
2100105,1,31/12/2000
2100303,4,31/12/2000
2100600,3,31/12/2000
2100907,1,31/12/2000
2100956,24,31/12/2000
2101400,1,31/12/2000
2101608,8,31/12/2000
2102101,3,31/12/2000
2102150,3,31/12/2000
2102358,9,31/12/2000
2102754,3,31/12/2000
2103000,183,31/12/2000
2103208,6,31/12/2000
2103257,1,31/12/2000
2103307,26,31/12/2000
2103406,50,31/12/2000
2103505,3,31/12/2000
2103604,3,31/12/2000
2103752,1,31/12/2000
2103802,13,31/12/2000
2104073,1,31/12/2000
2104107,5,31/12/2000
2104206,1,31/12/2000
2104552,6,31/12/2000
2104602,1,31/12/2000
2104628,2,31/12/2000
2104800,6,31/12/2000
2105203,2,31/12/2000
2105302,218,31/12/2000
2105401,3,31/12/2000
2105500,4,31/12/2000
2106003,2,31/12/2000
2106300,1,31/12/2000
2106607,1,31/12/2000
2107001,1,31/12/2000
2107357,3,31/12/2000
2107407,1,31/12/2000
2107506,12,31/12/2000
2107803,7,31/12/2000
2108009,6,31/12/2000
2108058,2,31/12/2000
2108207,23,31/12/2000
2109106,1,31/12/2000
2109239,1,31/12/2000
2109452,24,31/12/2000
2109502,2,31/12/2000
2109759,5,31/12/2000
2110104,3,31/12/2000
2110302,13,31/12/2000
2110401,1,31/12/2000
2110708,3,31/12/2000
2111078,3,31/12/2000
2111102,1,31/12/2000
2111201,59,31/12/2000
2111300,85,31/12/2000
2111763,1,31/12/2000
2111805,2,31/12/2000
2112100,1,31/12/2000
2112209,39,31/12/2000
2112456,1,31/12/2000
2112506,4,31/12/2000
2112605,1,31/12/2000
2112704,3,31/12/2000
2200053,2,31/12/2000
2200400,1,31/12/2000
2200509,2,31/12/2000
2201945,1,31/12/2000
2202133,1,31/12/2000
2202208,3,31/12/2000
2202406,1,31/12/2000
2202653,1,31/12/2000
2202703,4,31/12/2000
2203503,2,31/12/2000
2203701,6,31/12/2000
2203909,2,31/12/2000
2204709,1,31/12/2000
2205409,4,31/12/2000
2206670,2,31/12/2000
2206696,1,31/12/2000
2207009,1,31/12/2000
2207702,2,31/12/2000
2207751,1,31/12/2000
2208007,6,31/12/2000
2208106,1,31/12/2000
2208403,1,31/12/2000
2209351,1,31/12/2000
2210003,1,31/12/2000
2210102,1,31/12/2000
2210359,1,31/12/2000
2210375,1,31/12/2000
2210409,1,31/12/2000
2210508,1,31/12/2000
2210607,4,31/12/2000
2210656,2,31/12/2000
2211001,181,31/12/2000
2300408,1,31/12/2000
2300804,1,31/12/2000
2301406,2,31/12/2000
2301901,6,31/12/2000
2302008,1,31/12/2000
2302107,5,31/12/2000
2302503,4,31/12/2000
2302602,4,31/12/2000
2303006,2,31/12/2000
2303204,1,31/12/2000
2303907,1,31/12/2000
2303931,1,31/12/2000
2304103,39,31/12/2000
2304202,1,31/12/2000
2304400,1,31/12/2000
2304707,12,31/12/2000
2305605,2,31/12/2000
2305654,1,31/12/2000
2305902,3,31/12/2000
2306504,2,31/12/2000
2307007,1,31/12/2000
2307304,14,31/12/2000
2307809,1,31/12/2000
2307908,1,31/12/2000
2308104,3,31/12/2000
2308401,1,31/12/2000
2308609,3,31/12/2000
2309003,1,31/12/2000
2309201,1,31/12/2000
2310308,1,31/12/2000
2311306,2,31/12/2000
2312809,1,31/12/2000
2313302,1,31/12/2000
2313757,1,31/12/2000
2400208,2,31/12/2000
2401206,1,31/12/2000
2401800,2,31/12/2000
2402204,3,31/12/2000
2402402,1,31/12/2000
2402501,1,31/12/2000
2402600,4,31/12/2000
2403103,2,31/12/2000
2403251,6,31/12/2000
2405801,1,31/12/2000
