geocode,valor,data
11,2,31/12/2004
11,1,31/12/2005
11,4,31/12/2007
11,1,31/12/2011
11,5,31/12/2012
11,3,31/12/2013
11,3,31/12/2014
11,4,31/12/2016
11,4,31/12/2019
11,2,31/12/2020
11,6,31/12/2022
12,1,31/12/2008
13,2,31/12/2000
13,9,31/12/2002
13,3,31/12/2003
13,5,31/12/2004
13,5,31/12/2005
13,2,31/12/2006
13,3,31/12/2007
13,4,31/12/2008
13,3,31/12/2009
13,2,31/12/2010
13,2,31/12/2011
13,6,31/12/2012
13,3,31/12/2013
13,2,31/12/2014
13,1,31/12/2015
13,19,31/12/2016
13,3,31/12/2017
13,3,31/12/2018
13,3,31/12/2019
13,2,31/12/2020
13,4,31/12/2021
13,3,31/12/2022
14,14,31/12/2000
14,14,31/12/2001
14,19,31/12/2002
14,65,31/12/2003
14,70,31/12/2004
14,75,31/12/2005
14,62,31/12/2006
14,30,31/12/2007
14,41,31/12/2008
14,62,31/12/2009
14,75,31/12/2010
14,67,31/12/2011
14,79,31/12/2012
14,121,31/12/2013
14,157,31/12/2014
14,93,31/12/2015
14,140,31/12/2016
14,91,31/12/2017
14,74,31/12/2018
14,66,31/12/2019
14,31,31/12/2020
14,35,31/12/2021
14,40,31/12/2022
15,149,31/12/2000
15,257,31/12/2001
15,479,31/12/2002
15,648,31/12/2003
15,835,31/12/2004
15,1211,31/12/2005
15,1485,31/12/2006
15,1297,31/12/2007
15,1237,31/12/2008
15,1362,31/12/2009
15,1091,31/12/2010
15,1469,31/12/2011
15,1463,31/12/2012
15,1568,31/12/2013
15,1332,31/12/2014
15,1189,31/12/2015
15,1201,31/12/2016
15,1881,31/12/2017
15,1888,31/12/2018
15,1447,31/12/2019
15,1051,31/12/2020
15,1140,31/12/2021
15,1094,31/12/2022
16,1,31/12/2001
16,1,31/12/2002
16,2,31/12/2003
16,2,31/12/2006
16,1,31/12/2007
16,2,31/12/2008
16,1,31/12/2009
16,2,31/12/2010
16,2,31/12/2011
16,1,31/12/2012
16,8,31/12/2013
16,8,31/12/2014
16,2,31/12/2015
16,10,31/12/2016
16,5,31/12/2017
16,19,31/12/2018
16,7,31/12/2019
16,6,31/12/2020
16,5,31/12/2021
16,13,31/12/2022
17,159,31/12/2000
17,291,31/12/2001
17,324,31/12/2002
17,727,31/12/2003
17,486,31/12/2004
17,450,31/12/2005
17,726,31/12/2006
17,1323,31/12/2007
17,1680,31/12/2008
17,1799,31/12/2009
17,1426,31/12/2010
17,2067,31/12/2011
17,2479,31/12/2012
17,2265,31/12/2013
17,1690,31/12/2014
17,1655,31/12/2015
17,1485,31/12/2016
17,1659,31/12/2017
17,1458,31/12/2018
17,1520,31/12/2019
17,820,31/12/2020
17,795,31/12/2021
17,950,31/12/2022
21,907,31/12/2000
21,685,31/12/2001
21,620,31/12/2002
21,829,31/12/2003
21,552,31/12/2004
21,721,31/12/2005
21,747,31/12/2006
21,677,31/12/2007
21,772,31/12/2008
21,742,31/12/2009
21,618,31/12/2010
21,632,31/12/2011
21,427,31/12/2012
21,927,31/12/2013
21,779,31/12/2014
21,780,31/12/2015
21,941,31/12/2016
21,1140,31/12/2017
21,1061,31/12/2018
21,637,31/12/2019
21,526,31/12/2020
21,430,31/12/2021
21,563,31/12/2022
22,240,31/12/2000
22,170,31/12/2001
22,234,31/12/2002
22,471,31/12/2003
22,622,31/12/2004
22,548,31/12/2005
22,529,31/12/2006
22,415,31/12/2007
22,532,31/12/2008
22,385,31/12/2009
22,313,31/12/2010
22,365,31/12/2011
22,337,31/12/2012
22,443,31/12/2013
22,539,31/12/2014
22,448,31/12/2015
22,331,31/12/2016
22,343,31/12/2017
22,296,31/12/2018
22,267,31/12/2019
22,169,31/12/2020
22,199,31/12/2021
22,205,31/12/2022
23,122,31/12/2000
23,367,31/12/2001
23,318,31/12/2002
23,307,31/12/2003
23,449,31/12/2004
23,520,31/12/2005
23,876,31/12/2006
23,727,31/12/2007
23,769,31/12/2008
23,1008,31/12/2009
23,815,31/12/2010
23,960,31/12/2011
23,839,31/12/2012
23,873,31/12/2013
23,1093,31/12/2014
23,1006,31/12/2015
23,886,31/12/2016
23,856,31/12/2017
23,902,31/12/2018
23,781,31/12/2019
23,496,31/12/2020
23,519,31/12/2021
23,635,31/12/2022
24,366,31/12/2000
24,217,31/12/2001
24,136,31/12/2002
24,103,31/12/2003
24,80,31/12/2004
24,61,31/12/2005
24,92,31/12/2006
24,94,31/12/2007
24,117,31/12/2008
24,126,31/12/2009
24,116,31/12/2010
24,172,31/12/2011
24,159,31/12/2012
24,118,31/12/2013
24,157,31/12/2014
24,140,31/12/2015
24,162,31/12/2016
24,141,31/12/2017
24,154,31/12/2018
24,155,31/12/2019
24,94,31/12/2020
24,93,31/12/2021
24,219,31/12/2022
25,120,31/12/2000
25,158,31/12/2001
25,65,31/12/2002
25,94,31/12/2003
25,50,31/12/2004
25,51,31/12/2005
25,57,31/12/2006
25,40,31/12/2007
25,72,31/12/2008
25,62,31/12/2009
25,53,31/12/2010
25,75,31/12/2011
25,86,31/12/2012
25,96,31/12/2013
25,115,31/12/2014
25,117,31/12/2015
25,88,31/12/2016
25,122,31/12/2017
25,100,31/12/2018
25,142,31/12/2019
25,95,31/12/2020
25,131,31/12/2021
25,147,31/12/2022
26,530,31/12/2000
26,380,31/12/2001
26,187,31/12/2002
26,147,31/12/2003
26,184,31/12/2004
26,169,31/12/2005
26,336,31/12/2006
26,197,31/12/2007
26,361,31/12/2008
26,299,31/12/2009
26,175,31/12/2010
26,167,31/12/2011
26,126,31/12/2012
26,149,31/12/2013
26,385,31/12/2014
26,439,31/12/2015
26,322,31/12/2016
26,468,31/12/2017
26,558,31/12/2018
26,661,31/12/2019
26,472,31/12/2020
26,371,31/12/2021
26,550,31/12/2022
27,349,31/12/2000
27,365,31/12/2001
27,187,31/12/2002
27,95,31/12/2003
27,98,31/12/2004
27,91,31/12/2005
27,70,31/12/2006
27,42,31/12/2007
27,36,31/12/2008
27,40,31/12/2009
27,45,31/12/2010
27,47,31/12/2011
27,41,31/12/2012
27,31,31/12/2013
27,60,31/12/2014
27,54,31/12/2015
27,42,31/12/2016
27,69,31/12/2017
27,152,31/12/2018
27,113,31/12/2019
27,96,31/12/2020
27,99,31/12/2021
27,76,31/12/2022
28,132,31/12/2000
28,97,31/12/2001
28,54,31/12/2002
28,28,31/12/2003
28,47,31/12/2004
28,66,31/12/2005
28,74,31/12/2006
28,112,31/12/2007
28,74,31/12/2008
28,74,31/12/2009
28,140,31/12/2010
28,130,31/12/2011
28,98,31/12/2012
28,72,31/12/2013
28,78,31/12/2014
28,90,31/12/2015
28,64,31/12/2016
28,126,31/12/2017
28,236,31/12/2018
28,311,31/12/2019
28,189,31/12/2020
28,197,31/12/2021
28,302,31/12/2022
29,783,31/12/2000
29,612,31/12/2001
29,483,31/12/2002
29,557,31/12/2003
29,638,31/12/2004
29,729,31/12/2005
29,552,31/12/2006
29,417,31/12/2007
29,364,31/12/2008
29,555,31/12/2009
29,541,31/12/2010
