geocode,valor,data
1702000,1,31/12/2004
1705508,3,31/12/2004
1707652,1,31/12/2004
1712009,2,31/12/2004
1713809,1,31/12/2004
1720101,17,31/12/2004
2106706,1,31/12/2004
2200053,1,31/12/2004
2200400,1,31/12/2004
2200608,4,31/12/2004
2201200,8,31/12/2004
2201408,1,31/12/2004
2201739,1,31/12/2004
2202174,105,31/12/2004
2202653,1,31/12/2004
2203909,2,31/12/2004
2204659,1,31/12/2004
2205102,2,31/12/2004
2205409,19,31/12/2004
2205573,1,31/12/2004
2205706,1,31/12/2004
2205805,9,31/12/2004
2205854,9,31/12/2004
2206100,7,31/12/2004
2206209,1,31/12/2004
2206407,4,31/12/2004
2207108,1,31/12/2004
2207702,2,31/12/2004
2207900,2,31/12/2004
2208304,1,31/12/2004
2208403,3,31/12/2004
2208502,13,31/12/2004
2210052,1,31/12/2004
2211001,16,31/12/2004
2300200,1,31/12/2004
2300408,1,31/12/2004
2302305,3,31/12/2004
2302503,1,31/12/2004
2302701,1,31/12/2004
2303402,6,31/12/2004
2304103,5,31/12/2004
2304202,5,31/12/2004
2304251,1,31/12/2004
2304400,42,31/12/2004
2304954,1,31/12/2004
2305308,1,31/12/2004
2306405,3,31/12/2004
2307007,1,31/12/2004
2307650,1,31/12/2004
2308005,1,31/12/2004
2309201,4,31/12/2004
2309409,4,31/12/2004
2309607,2,31/12/2004
2310258,1,31/12/2004
2311900,1,31/12/2004
2312809,1,31/12/2004
2312908,6,31/12/2004
2313302,1,31/12/2004
2313401,4,31/12/2004
2313609,2,31/12/2004
2314102,33,31/12/2004
2403103,2,31/12/2004
2408003,1,31/12/2004
2408102,10,31/12/2004
2504009,3,31/12/2004
2507507,6,31/12/2004
2509396,1,31/12/2004
2601102,1,31/12/2004
2601201,1,31/12/2004
2603009,8,31/12/2004
2603702,2,31/12/2004
2604106,3,31/12/2004
2605905,1,31/12/2004
2608255,1,31/12/2004
2609808,11,31/12/2004
2611101,4,31/12/2004
2611606,10,31/12/2004
2612208,1,31/12/2004
2704302,16,31/12/2004
2705101,1,31/12/2004
2708006,1,31/12/2004
2800308,3,31/12/2004
2804805,1,31/12/2004
2900702,2,31/12/2004
2901403,1,31/12/2004
2903201,1,31/12/2004
2903904,1,31/12/2004
2905206,1,31/12/2004
2906006,1,31/12/2004
2906204,2,31/12/2004
2908002,1,31/12/2004
2910727,1,31/12/2004
2910800,7,31/12/2004
2911105,1,31/12/2004
