geocode,valor,data
13,2,31/12/2008
15,4,31/12/2007
17,25,31/12/2004
17,1,31/12/2006
17,3,31/12/2007
17,29,31/12/2008
21,1,31/12/2004
21,3,31/12/2007
21,4,31/12/2008
21,4,31/12/2009
22,217,31/12/2004
22,231,31/12/2005
22,610,31/12/2006
22,201,31/12/2007
22,109,31/12/2008
22,229,31/12/2009
22,470,31/12/2010
22,168,31/12/2011
22,179,31/12/2012
22,790,31/12/2013
22,89,31/12/2014
22,29,31/12/2015
22,68,31/12/2016
22,71,31/12/2017
22,74,31/12/2018
22,85,31/12/2019
22,30,31/12/2020
22,248,31/12/2021
22,211,31/12/2022
22,99,31/12/2023
23,133,31/12/2004
23,191,31/12/2005
23,116,31/12/2006
23,163,31/12/2007
23,100,31/12/2008
23,71,31/12/2009
23,94,31/12/2010
23,56,31/12/2011
23,73,31/12/2012
23,68,31/12/2013
23,75,31/12/2014
23,34,31/12/2015
23,64,31/12/2016
23,58,31/12/2017
23,34,31/12/2018
23,71,31/12/2019
23,14,31/12/2020
23,39,31/12/2021
23,24,31/12/2022
23,34,31/12/2023
24,13,31/12/2004
24,28,31/12/2005
24,24,31/12/2006
24,10,31/12/2007
24,17,31/12/2008
24,34,31/12/2009
24,25,31/12/2010
24,27,31/12/2011
24,33,31/12/2012
24,23,31/12/2013
24,17,31/12/2014
24,23,31/12/2015
24,9,31/12/2016
24,16,31/12/2017
24,15,31/12/2018
24,19,31/12/2019
24,4,31/12/2020
24,3,31/12/2021
24,18,31/12/2022
24,18,31/12/2023
25,10,31/12/2004
25,23,31/12/2005
25,14,31/12/2006
25,3,31/12/2007
25,4,31/12/2008
25,15,31/12/2009
25,25,31/12/2010
25,20,31/12/2011
25,20,31/12/2012
25,18,31/12/2013
25,9,31/12/2014
25,21,31/12/2015
25,5,31/12/2016
25,11,31/12/2017
25,17,31/12/2018
25,949,31/12/2019
25,1189,31/12/2020
25,10,31/12/2021
25,6,31/12/2022
25,39,31/12/2023
26,43,31/12/2004
26,35,31/12/2005
26,17,31/12/2006
26,46,31/12/2007
26,136,31/12/2008
26,165,31/12/2009
26,109,31/12/2010
26,83,31/12/2011
26,126,31/12/2012
26,328,31/12/2013
26,80,31/12/2014
26,92,31/12/2015
26,35,31/12/2016
26,36,31/12/2017
26,51,31/12/2018
26,56,31/12/2019
26,26,31/12/2020
26,13,31/12/2021
26,23,31/12/2022
26,26,31/12/2023
27,18,31/12/2004
27,6,31/12/2005
27,4,31/12/2006
27,6,31/12/2007
27,7,31/12/2008
27,12,31/12/2009
27,9,31/12/2010
27,8,31/12/2011
27,9,31/12/2012
27,8,31/12/2013
27,5,31/12/2014
27,5,31/12/2015
27,2,31/12/2016
27,8,31/12/2017
27,5,31/12/2018
27,3,31/12/2019
27,3,31/12/2020
27,10,31/12/2021
27,6,31/12/2022
27,7,31/12/2023
28,4,31/12/2004
28,9,31/12/2005
28,5,31/12/2006
28,4,31/12/2007
28,5,31/12/2008
28,8,31/12/2009
28,8,31/12/2010
28,15,31/12/2011
28,11,31/12/2012
28,5,31/12/2013
28,8,31/12/2014
28,6,31/12/2015
28,7,31/12/2016
28,2,31/12/2017
28,5,31/12/2018
28,3,31/12/2019
28,1,31/12/2020
28,3,31/12/2021
28,32,31/12/2022
28,5,31/12/2023
29,53,31/12/2004
29,69,31/12/2005
29,59,31/12/2006
29,67,31/12/2007
29,70,31/12/2008
29,67,31/12/2009
29,85,31/12/2010
29,48,31/12/2011
29,26,31/12/2012
29,36,31/12/2013
29,62,31/12/2014
29,34,31/12/2015
29,45,31/12/2016
29,22,31/12/2017
29,2587,31/12/2018
29,86,31/12/2019
29,71,31/12/2020
29,1218,31/12/2021
29,1101,31/12/2022
29,94,31/12/2023
31,429,31/12/2004
31,654,31/12/2005
31,373,31/12/2006
31,364,31/12/2007
31,330,31/12/2008
31,268,31/12/2009
31,337,31/12/2010
31,411,31/12/2011
31,412,31/12/2012
31,298,31/12/2013
31,227,31/12/2014
31,170,31/12/2015
