geocode,valor,data
1100452,1,31/12/2007
1101807,1,31/12/2007
1300631,1,31/12/2007
1505304,1,31/12/2007
2104305,1,31/12/2007
2106003,3,31/12/2007
2106326,3,31/12/2007
2109452,1,31/12/2007
2110807,1,31/12/2007
2111300,1,31/12/2007
2201606,1,31/12/2007
2209757,2,31/12/2007
2304301,2,31/12/2007
2304400,1,31/12/2007
2308104,2,31/12/2007
2310100,4,31/12/2007
2312601,4,31/12/2007
2602001,1,31/12/2007
2604106,1,31/12/2007
2606002,1,31/12/2007
2611606,1,31/12/2007
2611804,2,31/12/2007
2616001,1,31/12/2007
3301306,1,31/12/2007
3305703,3,31/12/2007
3507506,1,31/12/2007
3521903,3,31/12/2007
3527405,1,31/12/2007
3527900,2,31/12/2007
3528403,2,31/12/2007
3537107,1,31/12/2007
3543907,5,31/12/2007
3549805,1,31/12/2007
3550308,6,31/12/2007
3556354,1,31/12/2007
4107207,1,31/12/2007
4202453,1,31/12/2007
4305207,1,31/12/2007
4313375,2,31/12/2007
4314100,1,31/12/2007
4314555,1,31/12/2007
4319208,1,31/12/2007
4323754,1,31/12/2007
5201801,3,31/12/2007
5208301,1,31/12/2007
5208707,1,31/12/2007
5213855,1,31/12/2007
5214903,1,31/12/2007
5215603,1,31/12/2007
5215900,5,31/12/2007
5219407,1,31/12/2007
5221197,23,31/12/2007
1100106,1,31/12/2008
1304104,1,31/12/2008
1503606,1,31/12/2008
1506138,1,31/12/2008
2205565,1,31/12/2008
2209104,2,31/12/2008
2304301,1,31/12/2008
2304400,1,31/12/2008
2308351,3,31/12/2008
2311702,12,31/12/2008
2410702,1,31/12/2008
2411007,1,31/12/2008
2412559,2,31/12/2008
2600500,1,31/12/2008
2611606,1,31/12/2008
3106200,1,31/12/2008
3204500,3,31/12/2008
3501905,2,31/12/2008
3504909,1,31/12/2008
3506359,1,31/12/2008
3509502,1,31/12/2008
3530607,1,31/12/2008
3539806,2,31/12/2008
3546900,1,31/12/2008
3549805,1,31/12/2008
3550308,1,31/12/2008
3550704,3,31/12/2008
4106902,1,31/12/2008
4306767,4,31/12/2008
4316956,1,31/12/2008
5102637,1,31/12/2008
5103304,1,31/12/2008
5106273,1,31/12/2008
5201108,1,31/12/2008
5204250,2,31/12/2008
5213103,1,31/12/2008
5215900,2,31/12/2008
5220009,3,31/12/2008
5221007,1,31/12/2008
5221197,2,31/12/2008
5221551,2,31/12/2008
5300108,1,31/12/2008
1400308,2,31/12/2009
1502806,1,31/12/2009
1507508,6,31/12/2009
2100055,1,31/12/2009
2100402,1,31/12/2009
2102754,1,31/12/2009
2111300,1,31/12/2009
2112902,1,31/12/2009
2205276,1,31/12/2009
2211001,1,31/12/2009
2307635,1,31/12/2009
2401404,1,31/12/2009
2414803,3,31/12/2009
2502052,2,31/12/2009
2609907,1,31/12/2009
2800308,1,31/12/2009
2919900,1,31/12/2009
3304755,1,31/12/2009
3501905,1,31/12/2009
3519055,7,31/12/2009
3529500,1,31/12/2009
3537107,1,31/12/2009
3539103,1,31/12/2009
3541406,2,31/12/2009
3550308,2,31/12/2009
4318002,1,31/12/2009
5101001,1,31/12/2009
5108352,1,31/12/2009
5108907,1,31/12/2009
5200506,1,31/12/2009
5214101,1,31/12/2009
5220009,1,31/12/2009
5221908,1,31/12/2009
1400282,3,31/12/2010
1400704,3,31/12/2010
1502806,1,31/12/2010
2108603,1,31/12/2010
2110104,1,31/12/2010
2111300,2,31/12/2010
2304400,2,31/12/2010
