geocode,valor,data
11,2,31/12/2007
11,1,31/12/2008
11,1,31/12/2011
11,1,31/12/2014
11,1,31/12/2021
13,1,31/12/2007
13,1,31/12/2008
13,5,31/12/2012
13,1,31/12/2013
13,1,31/12/2015
13,1,31/12/2016
13,3,31/12/2017
13,1,31/12/2018
14,2,31/12/2009
14,6,31/12/2010
14,4,31/12/2011
14,1,31/12/2012
14,1,31/12/2016
14,1,31/12/2019
15,1,31/12/2007
15,2,31/12/2008
15,7,31/12/2009
15,1,31/12/2010
15,5,31/12/2011
15,12,31/12/2018
15,1,31/12/2019
15,1,31/12/2020
15,1,31/12/2021
16,1,31/12/2012
16,3,31/12/2013
16,1,31/12/2014
16,1,31/12/2017
16,1,31/12/2020
16,6,31/12/2021
17,1,31/12/2011
17,2,31/12/2017
17,6,31/12/2018
17,1,31/12/2019
17,3,31/12/2020
17,1,31/12/2021
21,10,31/12/2007
21,5,31/12/2009
21,4,31/12/2010
21,13,31/12/2011
21,2,31/12/2012
21,6,31/12/2013
21,1,31/12/2014
21,3,31/12/2016
21,20,31/12/2017
21,1,31/12/2020
21,16,31/12/2021
22,3,31/12/2007
22,3,31/12/2008
22,2,31/12/2009
22,2,31/12/2011
22,2,31/12/2012
22,3,31/12/2013
22,2,31/12/2014
22,1,31/12/2016
22,8,31/12/2018
22,2,31/12/2019
22,3,31/12/2020
22,13,31/12/2021
23,13,31/12/2007
23,17,31/12/2008
23,1,31/12/2009
23,2,31/12/2010
23,1,31/12/2011
23,11,31/12/2012
23,4,31/12/2013
23,2,31/12/2014
23,2,31/12/2016
23,2,31/12/2019
24,4,31/12/2008
24,4,31/12/2009
24,6,31/12/2010
24,3,31/12/2011
24,2,31/12/2012
24,1,31/12/2013
24,3,31/12/2014
24,1,31/12/2015
24,4,31/12/2016
24,3,31/12/2017
24,12,31/12/2018
24,20,31/12/2019
24,3,31/12/2020
24,8,31/12/2021
25,2,31/12/2009
25,1,31/12/2010
25,3,31/12/2011
25,5,31/12/2012
25,6,31/12/2013
25,6,31/12/2014
25,3,31/12/2015
25,10,31/12/2016
25,29,31/12/2017
25,24,31/12/2018
25,3,31/12/2019
25,2,31/12/2020
26,7,31/12/2007
26,2,31/12/2008
26,1,31/12/2009
26,4,31/12/2011
26,3,31/12/2014
26,3,31/12/2015
26,11,31/12/2017
26,3,31/12/2021
27,1,31/12/2011
27,1,31/12/2013
27,2,31/12/2018
28,1,31/12/2009
29,1,31/12/2009
29,1,31/12/2011
29,4,31/12/2012
29,2,31/12/2013
29,1,31/12/2014
29,1,31/12/2017
29,9,31/12/2018
29,9,31/12/2019
29,1,31/12/2020
29,1,31/12/2021
31,1,31/12/2008
31,1,31/12/2011
31,3,31/12/2012
31,2,31/12/2013
31,2,31/12/2014
31,2,31/12/2016
31,16,31/12/2017
31,5,31/12/2018
31,32,31/12/2019
31,19,31/12/2020
31,57,31/12/2021
32,3,31/12/2008
32,2,31/12/2010
32,3,31/12/2011
32,1,31/12/2013
32,6,31/12/2015
32,50,31/12/2016
32,2,31/12/2017
32,4,31/12/2019
33,4,31/12/2007
33,1,31/12/2009
33,1,31/12/2010
33,14,31/12/2011
33,1,31/12/2013
33,7,31/12/2014
33,2,31/12/2015
33,4,31/12/2016
33,3,31/12/2017
33,2,31/12/2018
33,4,31/12/2019
33,1,31/12/2020
33,6,31/12/2021
35,23,31/12/2007
35,14,31/12/2008
35,15,31/12/2009
35,32,31/12/2010
35,23,31/12/2011
35,17,31/12/2012
35,19,31/12/2013
35,19,31/12/2014
35,24,31/12/2015
35,11,31/12/2016
35,27,31/12/2017
35,56,31/12/2018
35,19,31/12/2019
35,49,31/12/2020
35,26,31/12/2021
41,1,31/12/2007
41,1,31/12/2008
41,1,31/12/2013
41,1,31/12/2014
41,1,31/12/2017
41,1,31/12/2018
41,3,31/12/2021
42,1,31/12/2007
42,1,31/12/2010
42,1,31/12/2012
42,1,31/12/2013
42,3,31/12/2015
42,1,31/12/2017
42,2,31/12/2019
42,24,31/12/2020
42,5,31/12/2021
43,7,31/12/2007
43,5,31/12/2008
43,1,31/12/2009
43,1,31/12/2012
43,1,31/12/2015
43,1,31/12/2017
43,2,31/12/2018
43,4,31/12/2019
43,2,31/12/2020
43,3,31/12/2021
50,3,31/12/2013
50,7,31/12/2014
50,17,31/12/2015
50,1,31/12/2016
50,5,31/12/2017
50,22,31/12/2018
50,13,31/12/2019
50,8,31/12/2020
50,2,31/12/2021
51,3,31/12/2008
51,3,31/12/2009
51,10,31/12/2010
51,6,31/12/2011
51,12,31/12/2012
51,7,31/12/2013
51,8,31/12/2014
51,5,31/12/2015
51,13,31/12/2016
51,7,31/12/2017
51,10,31/12/2018
51,6,31/12/2019
51,4,31/12/2020
51,26,31/12/2021
52,37,31/12/2007
52,14,31/12/2008
52,4,31/12/2009
52,10,31/12/2010
52,9,31/12/2011
52,11,31/12/2012
52,10,31/12/2013
52,4,31/12/2014
52,4,31/12/2015
52,8,31/12/2016
52,95,31/12/2017
52,1,31/12/2018
52,4,31/12/2019
52,16,31/12/2020
52,18,31/12/2021
53,1,31/12/2008
53,1,31/12/2015
53,1,31/12/2018
53,10,31/12/2020
53,2,31/12/2021
