geocode,valor,data
2800670,1,1999-12-31
3501004,1,1999-12-31
3530003,1,1999-12-31
3530300,3,1999-12-31
3532801,1,1999-12-31
3539509,1,1999-12-31
3544905,1,1999-12-31
3545803,1,1999-12-31
3547809,1,1999-12-31
3548500,12,1999-12-31
3548708,1,1999-12-31
3549805,17,1999-12-31
3557105,1,1999-12-31
4314902,1,1999-12-31
1100015,4,2000-12-31
1100023,384,2000-12-31
1100049,17,2000-12-31
1100106,70,2000-12-31
1100114,8,2000-12-31
1100122,71,2000-12-31
1100155,141,2000-12-31
1100189,19,2000-12-31
1100205,2623,2000-12-31
1100304,291,2000-12-31
1100338,4,2000-12-31
1100601,2,2000-12-31
1100809,7,2000-12-31
1101104,1,2000-12-31
1101401,3,2000-12-31
1101484,3,2000-12-31
1200013,3,2000-12-31
1200104,14,2000-12-31
1200179,8,2000-12-31
1200203,4,2000-12-31
1200252,11,2000-12-31
1200385,4,2000-12-31
1200401,2060,2000-12-31
1200401,133,2000-12-31
1200450,6,2000-12-31
1200500,5,2000-12-31
1200807,3,2000-12-31
1300102,4,2000-12-31
1300201,2,2000-12-31
1301100,23,2000-12-31
1301506,4,2000-12-31
1301902,18,2000-12-31
1302504,16,2000-12-31
1302603,6389,2000-12-31
1302900,2,2000-12-31
1303007,2,2000-12-31
1303205,19,2000-12-31
1303502,8,2000-12-31
1303536,12,2000-12-31
1303569,1,2000-12-31
1304005,1,2000-12-31
1304203,2,2000-12-31
1304237,1,2000-12-31
1304302,3,2000-12-31
1400027,3,2000-12-31
1400050,30,2000-12-31
1400100,7095,2000-12-31
1400159,8,2000-12-31
1400209,17,2000-12-31
1400282,2,2000-12-31
1400308,19,2000-12-31
1400407,28,2000-12-31
1400456,35,2000-12-31
1400472,3,2000-12-31
1400605,4,2000-12-31
1500131,12,2000-12-31
1500602,1,2000-12-31
1500800,632,2000-12-31
1500909,37,2000-12-31
1501204,192,2000-12-31
1501303,92,2000-12-31
1501402,5983,2000-12-31
1501451,1,2000-12-31
1501501,316,2000-12-31
1501576,32,2000-12-31
1501709,17,2000-12-31
1501782,3,2000-12-31
1501808,7,2000-12-31
1502103,277,2000-12-31
1502202,25,2000-12-31
1502400,338,2000-12-31
1502608,9,2000-12-31
1502707,28,2000-12-31
1502756,3,2000-12-31
1502772,1,2000-12-31
1502954,1,2000-12-31
1503101,1,2000-12-31
1503408,3,2000-12-31
1503457,1,2000-12-31
1503507,3,2000-12-31
1503754,2,2000-12-31
1504059,2,2000-12-31
1504208,152,2000-12-31
1504422,225,2000-12-31
1505007,1,2000-12-31
1505106,2,2000-12-31
1505403,2,2000-12-31
1505437,56,2000-12-31
1505486,1,2000-12-31
1505502,3,2000-12-31
1505536,94,2000-12-31
1506138,144,2000-12-31
1506161,1,2000-12-31
1506187,31,2000-12-31
1506302,1,2000-12-31
1506401,1,2000-12-31
1506500,146,2000-12-31
1506807,48,2000-12-31
1507003,10,2000-12-31
1507102,62,2000-12-31
1507151,1,2000-12-31
1507300,5,2000-12-31
1507409,64,2000-12-31
1507474,6,2000-12-31
1507607,70,2000-12-31
1507706,1,2000-12-31
1507755,2,2000-12-31
1507979,64,2000-12-31
1508035,9,2000-12-31
1508084,74,2000-12-31
1508100,498,2000-12-31
1508126,31,2000-12-31
1508209,185,2000-12-31
1700350,4,2000-12-31
1700707,4,2000-12-31
1701002,7,2000-12-31
1702109,685,2000-12-31
1702208,41,2000-12-31
1702307,3,2000-12-31
1702554,5,2000-12-31
1702703,1,2000-12-31
1703206,5,2000-12-31
1703305,1,2000-12-31
1703701,3,2000-12-31
1703800,18,2000-12-31
1703867,2,2000-12-31
1703883,2,2000-12-31
1705508,3,2000-12-31
1705607,7,2000-12-31
1706001,1,2000-12-31
1706100,53,2000-12-31
1707553,18,2000-12-31
1707702,4,2000-12-31
1708205,6,2000-12-31
1708304,1,2000-12-31
1709005,6,2000-12-31
1709500,47,2000-12-31
1710508,95,2000-12-31
1712009,67,2000-12-31
1712801,13,2000-12-31
1713205,175,2000-12-31
1713304,6,2000-12-31
1713809,1,2000-12-31
1714203,2,2000-12-31
1714880,22,2000-12-31
1715705,1,2000-12-31
1716109,62,2000-12-31
1716505,34,2000-12-31
1716604,30,2000-12-31
1716703,2,2000-12-31
1717206,27,2000-12-31
1717503,1,2000-12-31
1718204,17,2000-12-31
1718303,3,2000-12-31
1718402,5,2000-12-31
1718550,6,2000-12-31
1718865,7,2000-12-31
1718907,1,2000-12-31
1720200,1,2000-12-31
1720655,16,2000-12-31
1720903,9,2000-12-31
1721000,1416,2000-12-31
1722107,12,2000-12-31
2100055,105,2000-12-31
2100501,10,2000-12-31
2100808,39,2000-12-31
2100832,11,2000-12-31
2100907,7,2000-12-31
2100956,7,2000-12-31
2101103,4,2000-12-31
2101202,29,2000-12-31
2101251,13,2000-12-31
2101400,10,2000-12-31
2101509,9,2000-12-31
2101608,39,2000-12-31
2101806,3,2000-12-31
2101939,1,2000-12-31
2102036,11,2000-12-31
2102101,31,2000-12-31
2102150,8,2000-12-31
2102200,88,2000-12-31
2102309,3,2000-12-31
2102374,33,2000-12-31
2102754,1,2000-12-31
2102804,5,2000-12-31
2102903,31,2000-12-31
2103000,11,2000-12-31
2103208,272,2000-12-31
2103307,237,2000-12-31
2103406,5,2000-12-31
2103505,32,2000-12-31
2103703,2,2000-12-31
2103802,33,2000-12-31
2104008,13,2000-12-31
2104057,30,2000-12-31
2104099,21,2000-12-31
2104206,25,2000-12-31
2104404,6,2000-12-31
2104552,24,2000-12-31
2104602,17,2000-12-31
2104651,1,2000-12-31
2104701,2,2000-12-31
2104800,153,2000-12-31
2105005,21,2000-12-31
2105104,20,2000-12-31
2105302,39,2000-12-31
2105401,127,2000-12-31
2105450,5,2000-12-31
2105609,8,2000-12-31
2105807,1,2000-12-31
2106201,21,2000-12-31
2106300,60,2000-12-31
2106409,91,2000-12-31
2106631,5,2000-12-31
2106706,6,2000-12-31
2106755,59,2000-12-31
2106805,24,2000-12-31
2106904,3,2000-12-31
2107100,25,2000-12-31
2107258,5,2000-12-31
2107308,3,2000-12-31
2107357,18,2000-12-31
2107506,145,2000-12-31
2107704,48,2000-12-31
2107803,22,2000-12-31
2107902,13,2000-12-31
2108009,73,2000-12-31
2108058,16,2000-12-31
2108207,82,2000-12-31
2108504,3,2000-12-31
2108702,1,2000-12-31
2109007,1,2000-12-31
2109056,16,2000-12-31
2109106,26,2000-12-31
2109205,32,2000-12-31
2109403,8,2000-12-31
2109452,43,2000-12-31
2109502,16,2000-12-31
2109551,5,2000-12-31
2109601,153,2000-12-31
2109908,166,2000-12-31
2110104,20,2000-12-31
2110203,86,2000-12-31
2110278,1,2000-12-31
2110302,2,2000-12-31
2110401,16,2000-12-31
2110609,1,2000-12-31
2110906,6,2000-12-31
2111078,2,2000-12-31
2111102,3,2000-12-31
2111201,45,2000-12-31
2111250,1,2000-12-31
2111300,268,2000-12-31
2111508,16,2000-12-31
2111532,4,2000-12-31
2111722,2,2000-12-31
2111805,8,2000-12-31
2111904,11,2000-12-31
2112001,1,2000-12-31
2112209,351,2000-12-31
2112233,8,2000-12-31
2112274,8,2000-12-31
2112308,21,2000-12-31
2112407,72,2000-12-31
2112506,121,2000-12-31
2112605,4,2000-12-31
2112704,28,2000-12-31
2113009,23,2000-12-31
2114007,409,2000-12-31
2200202,56,2000-12-31
2200277,35,2000-12-31
2200301,90,2000-12-31
2200400,175,2000-12-31
2200459,2,2000-12-31
2200509,55,2000-12-31
2200608,38,2000-12-31
2200707,4,2000-12-31
2200905,1,2000-12-31
2201051,1,2000-12-31
2201200,24,2000-12-31
2201408,7,2000-12-31
2201606,214,2000-12-31
2201705,8,2000-12-31
2201770,3,2000-12-31
2201804,8,2000-12-31
2201919,9,2000-12-31
2201929,2,2000-12-31
2201960,23,2000-12-31
2201988,3,2000-12-31
2202000,7,2000-12-31
2202083,55,2000-12-31
2202091,39,2000-12-31
2202133,14,2000-12-31
2202208,4,2000-12-31
2202251,7,2000-12-31
2202307,33,2000-12-31
2202406,46,2000-12-31
2202554,2,2000-12-31
2202604,21,2000-12-31
2202653,13,2000-12-31
2202711,20,2000-12-31
2202737,2,2000-12-31
2202752,4,2000-12-31
2203107,7,2000-12-31
2203255,8,2000-12-31
2203271,1,2000-12-31
2203305,29,2000-12-31
2203354,4,2000-12-31
2203404,9,2000-12-31
2203420,31,2000-12-31
2203453,1,2000-12-31
2203503,10,2000-12-31
2203701,22,2000-12-31
2203800,10,2000-12-31
2203909,128,2000-12-31
2204105,8,2000-12-31
2204204,4,2000-12-31
2204352,3,2000-12-31
2204501,3,2000-12-31
2204550,2,2000-12-31
2204709,39,2000-12-31
2204808,27,2000-12-31
2205003,1,2000-12-31
2205201,3,2000-12-31
2205250,13,2000-12-31
2205276,2,2000-12-31
2205409,8,2000-12-31
2205508,11,2000-12-31
2205540,2,2000-12-31
2205557,18,2000-12-31
2205565,3,2000-12-31
2205573,10,2000-12-31
2205607,2,2000-12-31
2205706,23,2000-12-31
2205805,42,2000-12-31
2205904,1,2000-12-31
2205953,124,2000-12-31
2206001,26,2000-12-31
2206100,179,2000-12-31
2206209,29,2000-12-31
2206407,20,2000-12-31
2206506,1,2000-12-31
2206654,1,2000-12-31
2206696,11,2000-12-31
2206753,3,2000-12-31
2206803,1,2000-12-31
2206902,1,2000-12-31
2206951,3,2000-12-31
2207009,26,2000-12-31
2207207,7,2000-12-31
2207405,5,2000-12-31
2207702,290,2000-12-31
2207751,5,2000-12-31
2207900,47,2000-12-31
2207959,5,2000-12-31
2208007,180,2000-12-31
2208106,16,2000-12-31
2208304,7,2000-12-31
2208403,290,2000-12-31
2208551,9,2000-12-31
2208601,13,2000-12-31
2208700,1,2000-12-31
2208809,3,2000-12-31
2208874,3,2000-12-31
2208908,1,2000-12-31
2209005,3,2000-12-31
2209104,11,2000-12-31
2209153,3,2000-12-31
2209302,3,2000-12-31
2209351,1,2000-12-31
2209377,6,2000-12-31
2209401,1,2000-12-31
2209559,4,2000-12-31
2209609,2,2000-12-31
2209856,3,2000-12-31
2209955,5,2000-12-31
2210003,9,2000-12-31
2210052,2,2000-12-31
2210102,16,2000-12-31
2210359,1,2000-12-31
2210375,1,2000-12-31
2210383,3,2000-12-31
2210409,27,2000-12-31
2210508,24,2000-12-31
2210607,86,2000-12-31
2210656,7,2000-12-31
2210706,11,2000-12-31
2210904,2,2000-12-31
2210953,7,2000-12-31
2210979,1,2000-12-31
2211001,4249,2000-12-31
2211100,63,2000-12-31
2211209,1,2000-12-31
2211308,186,2000-12-31
2211357,3,2000-12-31
2211407,3,2000-12-31
2301307,2,2000-12-31
2301406,1,2000-12-31
2301901,24,2000-12-31
2302057,9,2000-12-31
2302107,147,2000-12-31
2302206,41,2000-12-31
2302503,7,2000-12-31
2302602,86,2000-12-31
2303006,9,2000-12-31
2303204,1,2000-12-31
2303907,37,2000-12-31
2303931,31,2000-12-31
2304103,11,2000-12-31
2304202,479,2000-12-31
2304301,4,2000-12-31
2304400,2,2000-12-31
2304707,3,2000-12-31
2305001,2,2000-12-31
2305704,8,2000-12-31
2305902,1,2000-12-31
2306504,23,2000-12-31
2306801,1,2000-12-31
2307304,623,2000-12-31
2307304,34,2000-12-31
2307809,14,2000-12-31
2307908,3,2000-12-31
2308104,26,2000-12-31
2308302,12,2000-12-31
2308401,2,2000-12-31
2308609,2,2000-12-31
2309102,4,2000-12-31
2309508,2,2000-12-31
2310308,1,2000-12-31
2311306,611,2000-12-31
2311603,14,2000-12-31
2312304,11,2000-12-31
2312502,1,2000-12-31
2312809,134,2000-12-31
2313302,14,2000-12-31
2313708,5,2000-12-31
2314003,2,2000-12-31
2400109,12,2000-12-31
2400208,369,2000-12-31
2400307,22,2000-12-31
2400703,195,2000-12-31
2400802,7,2000-12-31
2401008,58,2000-12-31
2401107,3,2000-12-31
2401206,47,2000-12-31
2401305,5,2000-12-31
2401404,30,2000-12-31
2401453,575,2000-12-31
2401503,60,2000-12-31
2401602,22,2000-12-31
2401701,218,2000-12-31
2401909,18,2000-12-31
2402006,491,2000-12-31
2402105,88,2000-12-31
2402204,52,2000-12-31
2402303,27,2000-12-31
2402402,30,2000-12-31
2402501,23,2000-12-31
2402600,455,2000-12-31
2402709,1,2000-12-31
2402808,4,2000-12-31
2403004,164,2000-12-31
2403103,131,2000-12-31
2403251,237,2000-12-31
2403400,72,2000-12-31
2403509,20,2000-12-31
2403608,4,2000-12-31
2403707,19,2000-12-31
2403756,4,2000-12-31
2403806,9,2000-12-31
2404408,27,2000-12-31
2404507,18,2000-12-31
2404705,2,2000-12-31
2404804,91,2000-12-31
2404853,12,2000-12-31
2405009,46,2000-12-31
2405108,163,2000-12-31
2405306,13,2000-12-31
2405405,5,2000-12-31
2405504,7,2000-12-31
2405603,15,2000-12-31
2405702,191,2000-12-31
2405801,162,2000-12-31
2406106,1,2000-12-31
2406205,7,2000-12-31
2406304,15,2000-12-31
2406403,6,2000-12-31
2406502,15,2000-12-31
2406601,86,2000-12-31
2406700,19,2000-12-31
2406809,98,2000-12-31
2407005,53,2000-12-31
2407104,307,2000-12-31
2407203,122,2000-12-31
2407500,14,2000-12-31
2407609,2,2000-12-31
2407708,2,2000-12-31
2407807,169,2000-12-31
2407906,2,2000-12-31
2408003,215,2000-12-31
2408102,9915,2000-12-31
2408201,17,2000-12-31
2408300,2,2000-12-31
2408508,3,2000-12-31
2408706,58,2000-12-31
2408805,18,2000-12-31
2408904,93,2000-12-31
2408953,42,2000-12-31
2409308,15,2000-12-31
2409332,48,2000-12-31
2409407,19,2000-12-31
2409506,10,2000-12-31
2409605,20,2000-12-31
2409704,36,2000-12-31
2409803,4,2000-12-31
2409902,119,2000-12-31
2410108,25,2000-12-31
2410306,13,2000-12-31
2410405,50,2000-12-31
2410900,3,2000-12-31
2411106,6,2000-12-31
2411205,456,2000-12-31
2411429,2,2000-12-31
2411502,1,2000-12-31
2411700,4,2000-12-31
2411809,5,2000-12-31
2412005,288,2000-12-31
2412104,302,2000-12-31
2412203,327,2000-12-31
2412302,40,2000-12-31
2412401,10,2000-12-31
2412559,18,2000-12-31
2412609,59,2000-12-31
2412708,6,2000-12-31
2412807,8,2000-12-31
2412906,1,2000-12-31
2413201,1,2000-12-31
2413300,2,2000-12-31
2413359,11,2000-12-31
2413409,13,2000-12-31
2413557,1,2000-12-31
2413607,29,2000-12-31
2413706,13,2000-12-31
2413904,8,2000-12-31
2414001,86,2000-12-31
2414159,2,2000-12-31
2414209,27,2000-12-31
2414308,6,2000-12-31
2414407,19,2000-12-31
2414456,77,2000-12-31
2414605,6,2000-12-31
2414704,35,2000-12-31
2500502,1,2000-12-31
2501104,1,2000-12-31
2505709,2,2000-12-31
2507507,10,2000-12-31
2512002,9,2000-12-31
2516102,2,2000-12-31
2600054,24,2000-12-31
2600104,138,2000-12-31
2600203,12,2000-12-31
2600302,98,2000-12-31
2600401,10,2000-12-31
2600500,198,2000-12-31
2600609,67,2000-12-31
2600708,279,2000-12-31
2600807,114,2000-12-31
2600906,109,2000-12-31
2601003,1,2000-12-31
2601052,452,2000-12-31
2601102,366,2000-12-31
2601201,2653,2000-12-31
2601300,2,2000-12-31
2601409,283,2000-12-31
2601508,41,2000-12-31
2601706,329,2000-12-31
2601805,135,2000-12-31
2601904,125,2000-12-31
2602001,254,2000-12-31
2602209,519,2000-12-31
2602308,412,2000-12-31
2602506,33,2000-12-31
2602605,738,2000-12-31
2602704,22,2000-12-31
2602803,260,2000-12-31
2602902,1160,2000-12-31
2603009,110,2000-12-31
2603108,21,2000-12-31
2603207,1,2000-12-31
2603306,8,2000-12-31
2603454,590,2000-12-31
2603504,164,2000-12-31
2603702,285,2000-12-31
2603801,11,2000-12-31
2603900,1,2000-12-31
2603926,59,2000-12-31
2604007,20,2000-12-31
2604106,645,2000-12-31
2604155,107,2000-12-31
2604205,400,2000-12-31
2604304,1,2000-12-31
2604403,17,2000-12-31
2604502,53,2000-12-31
2604601,29,2000-12-31
2604700,5,2000-12-31
2604809,28,2000-12-31
2604908,55,2000-12-31
2605004,20,2000-12-31
2605103,113,2000-12-31
2605152,3,2000-12-31
2605202,157,2000-12-31
2605301,148,2000-12-31
2605400,21,2000-12-31
2605509,13,2000-12-31
2605608,74,2000-12-31
2605707,461,2000-12-31
2605806,86,2000-12-31
2605905,89,2000-12-31
