geocode,valor,data
11,3648,2000-12-31
11,1973,2001-12-31
11,3002,2002-12-31
11,5275,2003-12-31
11,5513,2004-12-31
11,9001,2005-12-31
11,6457,2006-12-31
11,5635,2007-12-31
11,10193,2008-12-31
11,24694,2009-12-31
11,28204,2010-12-31
11,5881,2011-12-31
11,5202,2012-12-31
11,14457,2013-12-31
11,5159,2014-12-31
11,5897,2015-12-31
11,15640,2016-12-31
11,6361,2017-12-31
11,1998,2018-12-31
11,2479,2019-12-31
11,6667,2020-12-31
11,4022,2021-12-31
11,14260,2022-12-31
11,10700,2023-12-31
11,5021,2024-11-14
12,2251,2000-12-31
12,2345,2001-12-31
12,1089,2002-12-31
12,1545,2003-12-31
12,7006,2004-12-31
12,6937,2005-12-31
12,2782,2006-12-31
12,2358,2007-12-31
12,4556,2008-12-31
12,23071,2009-12-31
12,42218,2010-12-31
12,30647,2011-12-31
12,8607,2012-12-31
12,9432,2013-12-31
12,36799,2014-12-31
12,14331,2015-12-31
12,9245,2016-12-31
12,5283,2017-12-31
12,13017,2018-12-31
12,17215,2019-12-31
12,14680,2020-12-31
12,30786,2021-12-31
12,3610,2022-12-31
12,7190,2023-12-31
12,4398,2024-11-14
13,6507,2000-12-31
13,19930,2001-12-31
13,3188,2002-12-31
13,4889,2003-12-31
13,1230,2004-12-31
13,1381,2005-12-31
13,1125,2006-12-31
13,3899,2007-12-31
13,11556,2008-12-31
13,2994,2009-12-31
13,9750,2010-12-31
13,68126,2011-12-31
13,8790,2012-12-31
13,24558,2013-12-31
13,11013,2014-12-31
13,7836,2015-12-31
13,15322,2016-12-31
13,8311,2017-12-31
13,4687,2018-12-31
13,7740,2019-12-31
13,10506,2020-12-31
13,14872,2021-12-31
13,5362,2022-12-31
13,6269,2023-12-31
13,8162,2024-11-14
14,7244,2000-12-31
14,6345,2001-12-31
14,3827,2002-12-31
14,7790,2003-12-31
14,1973,2004-12-31
14,5088,2005-12-31
14,2432,2006-12-31
14,2587,2007-12-31
14,7534,2008-12-31
14,6185,2009-12-31
14,11803,2010-12-31
14,3041,2011-12-31
14,4585,2012-12-31
14,2284,2013-12-31
14,2212,2014-12-31
14,2797,2015-12-31
14,1945,2016-12-31
14,4851,2017-12-31
14,1524,2018-12-31
14,4175,2019-12-31
14,2373,2020-12-31
14,1187,2021-12-31
14,62,2022-12-31
14,224,2023-12-31
14,614,2024-11-14
15,10009,2000-12-31
15,18759,2001-12-31
15,14270,2002-12-31
15,14778,2003-12-31
15,9785,2004-12-31
15,10863,2005-12-31
15,9464,2006-12-31
15,20377,2007-12-31
15,26153,2008-12-31
15,12058,2009-12-31
15,21794,2010-12-31
15,30894,2011-12-31
15,27143,2012-12-31
15,17860,2013-12-31
15,9617,2014-12-31
15,17089,2015-12-31
15,19474,2016-12-31
15,13522,2017-12-31
15,10054,2018-12-31
15,9073,2019-12-31
15,7488,2020-12-31
15,8739,2021-12-31
15,5918,2022-12-31
15,5688,2023-12-31
15,19986,2024-11-14
16,3854,2001-12-31
16,1724,2002-12-31
16,5957,2003-12-31
16,3912,2004-12-31
16,4019,2005-12-31
16,2745,2006-12-31
16,5696,2007-12-31
16,2316,2008-12-31
16,3051,2009-12-31
16,4467,2010-12-31
16,4250,2011-12-31
16,2366,2012-12-31
16,2392,2013-12-31
16,2604,2014-12-31
16,4434,2015-12-31
16,3551,2016-12-31
16,1469,2017-12-31
16,1422,2018-12-31
16,915,2019-12-31
16,237,2020-12-31
16,1063,2021-12-31
16,290,2022-12-31
16,1220,2023-12-31
16,9174,2024-11-14
17,2958,2000-12-31
17,7994,2001-12-31
17,3970,2002-12-31
17,5424,2003-12-31
17,3774,2004-12-31
17,6863,2005-12-31
17,9567,2006-12-31
17,22094,2007-12-31
17,21729,2008-12-31
17,10226,2009-12-31
17,17383,2010-12-31
17,22537,2011-12-31
17,25998,2012-12-31
17,21225,2013-12-31
17,10410,2014-12-31
17,19155,2015-12-31
17,19882,2016-12-31
17,14882,2017-12-31
17,8238,2018-12-31
17,30901,2019-12-31
17,5593,2020-12-31
17,17214,2021-12-31
17,20955,2022-12-31
17,3294,2023-12-31
17,4737,2024-11-14
21,4330,2000-12-31
21,8396,2001-12-31
21,12487,2002-12-31
21,11241,2003-12-31
21,3325,2004-12-31
21,9866,2005-12-31
21,7048,2006-12-31
21,15902,2007-12-31
21,8015,2008-12-31
21,3854,2009-12-31
21,6746,2010-12-31
21,14295,2011-12-31
21,6653,2012-12-31
21,4534,2013-12-31
21,3556,2014-12-31
21,9711,2015-12-31
21,29895,2016-12-31
21,8948,2017-12-31
21,2745,2018-12-31
21,6662,2019-12-31
21,3221,2020-12-31
21,1727,2021-12-31
21,6852,2022-12-31
21,4799,2023-12-31
21,10693,2024-11-14
22,7561,2000-12-31
22,11540,2001-12-31
22,11532,2002-12-31
22,12596,2003-12-31
22,1639,2004-12-31
22,7772,2005-12-31
22,7076,2006-12-31
22,13825,2007-12-31
22,5364,2008-12-31
22,6015,2009-12-31
22,8799,2010-12-31
22,14564,2011-12-31
22,16219,2012-12-31
22,7120,2013-12-31
22,9909,2014-12-31
22,11239,2015-12-31
22,8495,2016-12-31
22,8033,2017-12-31
22,2813,2018-12-31
22,9717,2019-12-31
22,2923,2020-12-31
22,4838,2021-12-31
22,31677,2022-12-31
22,7607,2023-12-31
22,15093,2024-11-14
23,2444,2000-12-31
23,45998,2001-12-31
23,33211,2002-12-31
23,52484,2003-12-31
23,10364,2004-12-31
23,47007,2005-12-31
23,43797,2006-12-31
23,51377,2007-12-31
23,84728,2008-12-31
23,20612,2009-12-31
23,34864,2010-12-31
23,91323,2011-12-31
23,72771,2012-12-31
23,56474,2013-12-31
23,41909,2014-12-31
23,105886,2015-12-31
23,100614,2016-12-31
23,81362,2017-12-31
23,15200,2018-12-31
23,33360,2019-12-31
23,40891,2020-12-31
23,69261,2021-12-31
23,42750,2022-12-31
23,14481,2023-12-31
23,12804,2024-11-14
24,17736,2000-12-31
24,39981,2001-12-31
24,24032,2002-12-31
24,22715,2003-12-31
24,3439,2004-12-31
24,6856,2005-12-31
24,9648,2006-12-31
24,15915,2007-12-31
24,42882,2008-12-31
24,3901,2009-12-31
24,9433,2010-12-31
24,29518,2011-12-31
24,35653,2012-12-31
24,25239,2013-12-31
24,14099,2014-12-31
24,28378,2015-12-31
24,63398,2016-12-31
24,9515,2017-12-31
24,30225,2018-12-31
24,39867,2019-12-31
24,12894,2020-12-31
24,7387,2021-12-31
24,42185,2022-12-31
24,7667,2023-12-31
24,17123,2024-11-14
25,25,2000-12-31
25,16345,2001-12-31
25,21795,2002-12-31
25,16090,2003-12-31
25,2458,2004-12-31
25,7949,2005-12-31
25,3891,2006-12-31
25,12757,2007-12-31
25,11319,2008-12-31
25,1602,2009-12-31
25,8699,2010-12-31
25,16392,2011-12-31
25,11502,2012-12-31
25,18249,2013-12-31
25,7607,2014-12-31
25,29970,2015-12-31
25,44965,2016-12-31
25,4539,2017-12-31
25,12535,2018-12-31
25,20929,2019-12-31
25,8584,2020-12-31
25,21975,2021-12-31
25,28858,2022-12-31
25,7197,2023-12-31
25,13935,2024-11-14
26,29968,2000-12-31
26,16874,2001-12-31
26,116451,2002-12-31
26,26312,2003-12-31
26,6388,2004-12-31
26,12894,2005-12-31
26,18848,2006-12-31
26,35728,2007-12-31
26,41884,2008-12-31
26,8393,2009-12-31
26,59144,2010-12-31
26,40580,2011-12-31
26,63915,2012-12-31
26,18000,2013-12-31
26,19732,2014-12-31
26,172874,2015-12-31
26,120361,2016-12-31
26,18067,2017-12-31
26,23535,2018-12-31
26,64188,2019-12-31
26,36707,2020-12-31
26,61111,2021-12-31
26,16051,2022-12-31
26,7977,2023-12-31
26,29741,2024-11-14
27,1580,2000-12-31
27,2391,2001-12-31
27,11969,2002-12-31
27,9997,2003-12-31
27,6606,2004-12-31
27,3745,2005-12-31
27,4738,2006-12-31
27,12996,2007-12-31
27,19561,2008-12-31
27,6068,2009-12-31
27,54539,2010-12-31
27,11537,2011-12-31
27,33672,2012-12-31
27,15878,2013-12-31
27,16429,2014-12-31
27,33955,2015-12-31
27,24712,2016-12-31
27,3614,2017-12-31
27,2974,2018-12-31
27,27433,2019-12-31
27,3639,2020-12-31
27,9978,2021-12-31
27,33723,2022-12-31
27,4772,2023-12-31
27,17130,2024-11-14
28,1,1999-12-31
28,8659,2000-12-31
28,4642,2001-12-31
28,7564,2002-12-31
28,7557,2003-12-31
28,1008,2004-12-31
28,1629,2005-12-31
28,2323,2006-12-31
28,2215,2007-12-31
28,35791,2008-12-31
28,3739,2009-12-31
28,2015,2010-12-31
28,7267,2011-12-31
28,11242,2012-12-31
28,2417,2013-12-31
28,4242,2014-12-31
28,14774,2015-12-31
28,7522,2016-12-31
28,1347,2017-12-31
28,541,2018-12-31
28,11534,2019-12-31
28,5280,2020-12-31
28,4540,2021-12-31
28,5256,2022-12-31
28,2952,2023-12-31
28,2557,2024-11-14
29,11038,2000-12-31
29,34812,2001-12-31
29,87125,2002-12-31
29,48856,2003-12-31
29,6641,2004-12-31
29,27010,2005-12-31
29,10360,2006-12-31
29,14798,2007-12-31
29,50174,2008-12-31
29,123654,2009-12-31
29,62161,2010-12-31
29,57289,2011-12-31
29,74736,2012-12-31
29,86332,2013-12-31
29,24907,2014-12-31
29,79330,2015-12-31
29,83444,2016-12-31
29,15468,2017-12-31
29,14175,2018-12-31
29,84816,2019-12-31
29,107212,2020-12-31
29,36828,2021-12-31
29,35756,2022-12-31
29,47423,2023-12-31
29,231279,2024-11-14
31,8600,2000-12-31
31,40660,2001-12-31
31,58882,2002-12-31
31,23330,2003-12-31
31,20546,2004-12-31
31,20033,2005-12-31
31,41788,2006-12-31
