geocode,valor,data
1100023,2,2007-12-31
1100049,5,2007-12-31
1100114,21,2007-12-31
1100122,9,2007-12-31
1100155,8,2007-12-31
1100288,1,2007-12-31
1100304,5,2007-12-31
1100379,2,2007-12-31
1100908,1,2007-12-31
1101401,1,2007-12-31
1101757,2,2007-12-31
1200401,1,2007-12-31
1505536,2,2007-12-31
1508035,1,2007-12-31
1706100,1,2007-12-31
1721000,1,2007-12-31
2100550,2,2007-12-31
2102325,1,2007-12-31
2208007,6,2007-12-31
2301000,8,2007-12-31
2301406,8,2007-12-31
2302107,5,2007-12-31
2302909,1,2007-12-31
2303204,8,2007-12-31
2303501,1,2007-12-31
2305407,3,2007-12-31
2307502,1,2007-12-31
2307650,1,2007-12-31
2309805,5,2007-12-31
2310100,3,2007-12-31
2311603,1,2007-12-31
2312304,2,2007-12-31
2400208,1,2007-12-31
2401404,1,2007-12-31
2403251,1,2007-12-31
2403608,30,2007-12-31
2404507,1,2007-12-31
2407104,2,2007-12-31
2407203,1,2007-12-31
2407807,1,2007-12-31
2408102,100,2007-12-31
2408201,2,2007-12-31
2408953,1,2007-12-31
2409803,4,2007-12-31
2410405,75,2007-12-31
2412203,1,2007-12-31
2413201,2,2007-12-31
2414407,1,2007-12-31
2500304,3,2007-12-31
2501807,2,2007-12-31
2501906,2,2007-12-31
2503209,4,2007-12-31
2503605,2,2007-12-31
2504355,1,2007-12-31
2506301,1,2007-12-31
2506806,1,2007-12-31
2506905,52,2007-12-31
2507002,1,2007-12-31
2507101,4,2007-12-31
2507309,2,2007-12-31
2508901,8,2007-12-31
2509057,2,2007-12-31
2509206,1,2007-12-31
2509305,2,2007-12-31
2511202,45,2007-12-31
2516201,1,2007-12-31
2517001,4,2007-12-31
2600054,10,2007-12-31
2600302,6,2007-12-31
2600401,35,2007-12-31
2600609,1,2007-12-31
2600708,26,2007-12-31
2600807,10,2007-12-31
2600906,97,2007-12-31
2601003,3,2007-12-31
2601300,46,2007-12-31
2601409,294,2007-12-31
2601508,28,2007-12-31
2601904,1,2007-12-31
2602100,14,2007-12-31
2602209,30,2007-12-31
2602308,10,2007-12-31
2602704,18,2007-12-31
2602902,72,2007-12-31
2603108,11,2007-12-31
2603454,24,2007-12-31
2603504,11,2007-12-31
2603603,3,2007-12-31
2603801,1,2007-12-31
2604007,56,2007-12-31
2604106,55,2007-12-31
2604205,66,2007-12-31
2604403,21,2007-12-31
2604502,14,2007-12-31
2604601,6,2007-12-31
2604700,55,2007-12-31
2604809,61,2007-12-31
2605004,41,2007-12-31
2605202,503,2007-12-31
2605509,27,2007-12-31
2605905,2,2007-12-31
2606002,2,2007-12-31
2606101,35,2007-12-31
2606200,19,2007-12-31
2606408,64,2007-12-31
2606507,22,2007-12-31
2606804,2,2007-12-31
2607208,10,2007-12-31
2607653,181,2007-12-31
2607752,1,2007-12-31
2607802,144,2007-12-31
2607901,390,2007-12-31
2607950,27,2007-12-31
2608206,25,2007-12-31
2608453,6,2007-12-31
2608701,1,2007-12-31
2608909,2,2007-12-31
2609006,90,2007-12-31
2609105,77,2007-12-31
2609204,3,2007-12-31
2609402,3,2007-12-31
2609501,91,2007-12-31
2609600,18,2007-12-31
2609709,17,2007-12-31
2610004,96,2007-12-31
2610103,1,2007-12-31
2610509,6,2007-12-31
2610608,104,2007-12-31
2610707,52,2007-12-31
2611002,2,2007-12-31
2611309,34,2007-12-31
2611408,35,2007-12-31
2611507,16,2007-12-31
2611606,42,2007-12-31
2611705,23,2007-12-31
2611804,4,2007-12-31
2612000,9,2007-12-31
