geocode,valor,data
11,57,2007-12-31
11,66,2008-12-31
11,68,2009-12-31
11,74,2010-12-31
11,19,2011-12-31
11,27,2012-12-31
11,23,2013-12-31
11,35,2014-12-31
11,41,2015-12-31
11,51,2016-12-31
11,75,2017-12-31
11,66,2018-12-31
11,19,2019-12-31
11,20,2020-12-31
11,17,2021-12-31
11,37,2022-12-31
11,16,2023-12-31
12,1,2007-12-31
12,2,2008-12-31
12,1,2019-12-31
12,1,2022-12-31
13,2,2015-12-31
13,1,2021-12-31
14,1,2017-12-31
14,3,2018-12-31
15,3,2007-12-31
15,12,2008-12-31
15,40,2009-12-31
15,5,2010-12-31
15,26,2011-12-31
15,5,2012-12-31
15,14,2013-12-31
15,27,2014-12-31
15,14,2015-12-31
15,12,2016-12-31
15,17,2017-12-31
15,8,2018-12-31
15,22,2019-12-31
15,7,2020-12-31
15,10,2021-12-31
15,19,2022-12-31
15,16,2023-12-31
16,1,2008-12-31
16,1,2010-12-31
16,1,2012-12-31
16,1,2017-12-31
16,2,2018-12-31
16,4,2021-12-31
16,1,2023-12-31
17,2,2007-12-31
17,2,2008-12-31
17,2,2009-12-31
17,1,2011-12-31
17,5,2013-12-31
17,8,2014-12-31
17,2,2015-12-31
17,1,2016-12-31
17,3,2017-12-31
17,4,2018-12-31
17,2,2021-12-31
17,2,2022-12-31
17,5,2023-12-31
21,3,2007-12-31
21,28,2008-12-31
21,84,2009-12-31
21,79,2010-12-31
21,65,2011-12-31
21,63,2012-12-31
21,9,2013-12-31
21,18,2014-12-31
21,17,2015-12-31
21,9,2016-12-31
21,79,2017-12-31
21,54,2018-12-31
21,12,2019-12-31
21,7,2020-12-31
21,20,2021-12-31
21,21,2022-12-31
21,24,2023-12-31
22,6,2007-12-31
22,2,2008-12-31
22,2,2009-12-31
22,1,2010-12-31
22,6,2011-12-31
22,4,2012-12-31
22,2,2013-12-31
22,1,2015-12-31
22,2,2017-12-31
22,1,2018-12-31
22,1,2020-12-31
22,3,2021-12-31
22,1,2022-12-31
22,4,2023-12-31
23,47,2007-12-31
23,89,2008-12-31
23,118,2009-12-31
23,73,2010-12-31
23,28,2011-12-31
23,23,2012-12-31
23,18,2013-12-31
23,23,2014-12-31
23,38,2015-12-31
23,23,2016-12-31
23,39,2017-12-31
23,37,2018-12-31
23,26,2019-12-31
23,19,2020-12-31
23,29,2021-12-31
23,22,2022-12-31
23,17,2023-12-31
24,224,2007-12-31
24,74,2008-12-31
24,88,2009-12-31
24,49,2010-12-31
24,23,2011-12-31
24,26,2012-12-31
24,32,2013-12-31
24,15,2014-12-31
24,27,2015-12-31
24,27,2016-12-31
24,23,2017-12-31
24,11,2018-12-31
24,29,2019-12-31
24,17,2020-12-31
24,41,2021-12-31
24,25,2022-12-31
24,22,2023-12-31
25,138,2007-12-31
25,118,2008-12-31
25,68,2009-12-31
25,71,2010-12-31
25,164,2011-12-31
25,169,2012-12-31
25,34,2013-12-31
25,105,2014-12-31
25,87,2015-12-31
25,126,2016-12-31
25,125,2017-12-31
25,46,2018-12-31
25,30,2019-12-31
25,38,2020-12-31
25,66,2021-12-31
25,90,2022-12-31
25,79,2023-12-31
26,3996,2007-12-31
26,2705,2008-12-31
26,1327,2009-12-31
26,456,2010-12-31
26,335,2011-12-31
26,280,2012-12-31
26,277,2013-12-31
26,304,2014-12-31
26,391,2015-12-31
26,227,2016-12-31
26,240,2017-12-31
26,177,2018-12-31
26,157,2019-12-31
26,126,2020-12-31
26,202,2021-12-31
26,150,2022-12-31
26,143,2023-12-31
27,231,2007-12-31
27,115,2008-12-31
27,42,2009-12-31
27,90,2010-12-31
27,64,2011-12-31
27,51,2012-12-31
27,23,2013-12-31
27,25,2014-12-31
27,44,2015-12-31
27,125,2016-12-31
