geocode,valor,data
1303809,1,2000-12-31
1304062,1,2000-12-31
1400100,11,2000-12-31
1400456,3,2000-12-31
1501303,25,2000-12-31
1501402,65,2000-12-31
1502103,6,2000-12-31
1503507,1,2000-12-31
1504059,17,2000-12-31
1504604,1,2000-12-31
1505536,2,2000-12-31
1506609,1,2000-12-31
1506807,29,2000-12-31
1507300,1,2000-12-31
1508100,1,2000-12-31
1702109,37,2000-12-31
1710904,1,2000-12-31
1712504,1,2000-12-31
1713304,1,2000-12-31
1713601,1,2000-12-31
1716109,11,2000-12-31
1718204,26,2000-12-31
1718758,1,2000-12-31
1720200,1,2000-12-31
1720903,1,2000-12-31
1721000,57,2000-12-31
1721208,21,2000-12-31
2100105,1,2000-12-31
2100303,4,2000-12-31
2100600,3,2000-12-31
2100907,1,2000-12-31
2100956,24,2000-12-31
2101400,1,2000-12-31
2101608,8,2000-12-31
2102101,3,2000-12-31
2102150,3,2000-12-31
2102358,9,2000-12-31
2102754,3,2000-12-31
2103000,183,2000-12-31
2103208,6,2000-12-31
2103257,1,2000-12-31
2103307,26,2000-12-31
2103406,50,2000-12-31
2103505,3,2000-12-31
2103604,3,2000-12-31
2103752,1,2000-12-31
2103802,13,2000-12-31
2104073,1,2000-12-31
2104107,5,2000-12-31
2104206,1,2000-12-31
2104552,6,2000-12-31
2104602,1,2000-12-31
2104628,2,2000-12-31
2104800,6,2000-12-31
2105203,2,2000-12-31
2105302,218,2000-12-31
2105401,3,2000-12-31
2105500,4,2000-12-31
2106003,2,2000-12-31
2106300,1,2000-12-31
2106607,1,2000-12-31
2107001,1,2000-12-31
2107357,3,2000-12-31
2107407,1,2000-12-31
2107506,12,2000-12-31
2107803,7,2000-12-31
2108009,6,2000-12-31
2108058,2,2000-12-31
2108207,23,2000-12-31
2109106,1,2000-12-31
2109239,1,2000-12-31
2109452,24,2000-12-31
2109502,2,2000-12-31
2109759,5,2000-12-31
2110104,3,2000-12-31
2110302,13,2000-12-31
2110401,1,2000-12-31
2110708,3,2000-12-31
2111078,3,2000-12-31
2111102,1,2000-12-31
2111201,59,2000-12-31
2111300,85,2000-12-31
2111763,1,2000-12-31
2111805,2,2000-12-31
2112100,1,2000-12-31
2112209,39,2000-12-31
2112456,1,2000-12-31
2112506,4,2000-12-31
2112605,1,2000-12-31
2112704,3,2000-12-31
2200053,2,2000-12-31
2200400,1,2000-12-31
2200509,2,2000-12-31
2201945,1,2000-12-31
2202133,1,2000-12-31
2202208,3,2000-12-31
2202406,1,2000-12-31
2202653,1,2000-12-31
2202703,4,2000-12-31
2203503,2,2000-12-31
2203701,6,2000-12-31
2203909,2,2000-12-31
2204709,1,2000-12-31
2205409,4,2000-12-31
2206670,2,2000-12-31
2206696,1,2000-12-31
2207009,1,2000-12-31
2207702,2,2000-12-31
2207751,1,2000-12-31
2208007,6,2000-12-31
2208106,1,2000-12-31
2208403,1,2000-12-31
2209351,1,2000-12-31
2210003,1,2000-12-31
2210102,1,2000-12-31
2210359,1,2000-12-31
2210375,1,2000-12-31
2210409,1,2000-12-31
2210508,1,2000-12-31
2210607,4,2000-12-31
2210656,2,2000-12-31
2211001,181,2000-12-31
2300408,1,2000-12-31
2300804,1,2000-12-31
2301406,2,2000-12-31
2301901,6,2000-12-31
2302008,1,2000-12-31
2302107,5,2000-12-31
2302503,4,2000-12-31
2302602,4,2000-12-31
2303006,2,2000-12-31
2303204,1,2000-12-31
2303907,1,2000-12-31
2303931,1,2000-12-31
2304103,39,2000-12-31
2304202,1,2000-12-31
2304400,1,2000-12-31
2304707,12,2000-12-31
2305605,2,2000-12-31
2305654,1,2000-12-31
2305902,3,2000-12-31
2306504,2,2000-12-31
2307007,1,2000-12-31
2307304,14,2000-12-31
2307809,1,2000-12-31
2307908,1,2000-12-31
2308104,3,2000-12-31
2308401,1,2000-12-31
2308609,3,2000-12-31
2309003,1,2000-12-31
2309201,1,2000-12-31
2310308,1,2000-12-31
2311306,2,2000-12-31
2312809,1,2000-12-31
2313302,1,2000-12-31
2313757,1,2000-12-31
2400208,2,2000-12-31
2401206,1,2000-12-31
2401800,2,2000-12-31
2402204,3,2000-12-31
2402402,1,2000-12-31
2402501,1,2000-12-31
2402600,4,2000-12-31
2403103,2,2000-12-31
2403251,6,2000-12-31
2405801,1,2000-12-31
2406205,1,2000-12-31
2407104,2,2000-12-31
2407500,1,2000-12-31
2407708,4,2000-12-31
2407807,1,2000-12-31
2408003,10,2000-12-31
2408102,282,2000-12-31
2408201,2,2000-12-31
2409308,1,2000-12-31
2410900,2,2000-12-31
2411056,1,2000-12-31
2411205,7,2000-12-31
2412005,9,2000-12-31
2412203,11,2000-12-31
2412302,1,2000-12-31
2412500,2,2000-12-31
2412609,1,2000-12-31
2413508,1,2000-12-31
2414407,4,2000-12-31
2507507,109,2000-12-31
2509008,8,2000-12-31
2516201,3,2000-12-31
2600104,1,2000-12-31
2600203,2,2000-12-31
2600302,2,2000-12-31
2600500,1,2000-12-31
2600807,9,2000-12-31
2601102,3,2000-12-31
2601201,1,2000-12-31
2601409,1,2000-12-31
2601706,1,2000-12-31
2602209,1,2000-12-31
2602902,3,2000-12-31
2603926,1,2000-12-31
2604106,110,2000-12-31
2604155,2,2000-12-31
2604700,25,2000-12-31
2604908,4,2000-12-31
2605400,5,2000-12-31
2605806,3,2000-12-31
2606200,1,2000-12-31
2606408,1,2000-12-31
2606606,1,2000-12-31
2607208,4,2000-12-31
2607604,3,2000-12-31
2608107,1,2000-12-31
2609907,15,2000-12-31
2610509,2,2000-12-31
2611101,45,2000-12-31
2611606,180,2000-12-31
2611705,9,2000-12-31
2612000,2,2000-12-31
2612208,53,2000-12-31
2612307,1,2000-12-31
2612455,1,2000-12-31
2612471,1,2000-12-31
2612604,2,2000-12-31
2613008,4,2000-12-31
2613107,1,2000-12-31
2613305,1,2000-12-31
2613404,4,2000-12-31
2613503,1,2000-12-31
2613800,3,2000-12-31
2614402,1,2000-12-31
2614501,7,2000-12-31
2614600,1,2000-12-31
2614857,1,2000-12-31
2615409,2,2000-12-31
2616183,1,2000-12-31
2616209,3,2000-12-31
2616308,2,2000-12-31
2616407,1,2000-12-31
2700300,10,2000-12-31
2700508,1,2000-12-31
2700706,1,2000-12-31
2701001,1,2000-12-31
2701209,4,2000-12-31
2701506,1,2000-12-31
2701803,1,2000-12-31
2702009,3,2000-12-31
2702306,1,2000-12-31
2702504,1,2000-12-31
2702553,2,2000-12-31
2702603,1,2000-12-31
2703601,1,2000-12-31
2703809,1,2000-12-31
2704302,278,2000-12-31
2704401,3,2000-12-31
2704500,15,2000-12-31
2706307,3,2000-12-31
2706406,3,2000-12-31
2706448,2,2000-12-31
2706703,4,2000-12-31
2707503,3,2000-12-31
2708006,5,2000-12-31
2708105,1,2000-12-31
2708808,1,2000-12-31
2709103,1,2000-12-31
2709202,1,2000-12-31
2800100,4,2000-12-31
2800308,37,2000-12-31
2800506,1,2000-12-31
2800605,1,2000-12-31
2801009,1,2000-12-31
2801108,2,2000-12-31
2801207,1,2000-12-31
2802106,10,2000-12-31
2802700,1,2000-12-31
2802908,1,2000-12-31
2803203,1,2000-12-31
2803302,1,2000-12-31
2803401,1,2000-12-31
2803500,3,2000-12-31
2803609,1,2000-12-31
2804409,16,2000-12-31
2804458,8,2000-12-31
2804805,8,2000-12-31
2805307,1,2000-12-31
2805505,1,2000-12-31
2805703,1,2000-12-31
2805802,1,2000-12-31
2806008,1,2000-12-31
2806404,1,2000-12-31
2806602,2,2000-12-31
2806701,24,2000-12-31
2807006,1,2000-12-31
2807600,1,2000-12-31
2900504,1,2000-12-31
2900702,10,2000-12-31
2901205,1,2000-12-31
2901304,1,2000-12-31
2901502,1,2000-12-31
2901700,3,2000-12-31
2902005,1,2000-12-31
2902104,6,2000-12-31
2902401,1,2000-12-31
2902708,1,2000-12-31
2902807,4,2000-12-31
2903003,6,2000-12-31
2903235,7,2000-12-31
2903805,1,2000-12-31
2903904,7,2000-12-31
2904050,8,2000-12-31
2904605,37,2000-12-31
2904852,3,2000-12-31
2905305,12,2000-12-31
2905701,49,2000-12-31
2905909,6,2000-12-31
2906600,2,2000-12-31
2906857,2,2000-12-31
2907103,2,2000-12-31
2907202,2,2000-12-31
2907608,3,2000-12-31
2907806,2,2000-12-31
2907905,14,2000-12-31
2908309,59,2000-12-31
2908408,2,2000-12-31
2908606,10,2000-12-31
2910057,2,2000-12-31
2910503,48,2000-12-31
2910701,5,2000-12-31
2910750,5,2000-12-31
2910800,66,2000-12-31
2911303,1,2000-12-31
2911709,3,2000-12-31
2911907,10,2000-12-31
2912400,11,2000-12-31
2913101,1,2000-12-31
2913200,2,2000-12-31
2913309,2,2000-12-31
2913804,1,2000-12-31
2913903,2,2000-12-31
2914000,14,2000-12-31
2914604,22,2000-12-31
2914703,10,2000-12-31
2914802,1,2000-12-31
2915205,1,2000-12-31
2915353,3,2000-12-31
2916500,7,2000-12-31
2916609,4,2000-12-31
2917508,16,2000-12-31
2917706,1,2000-12-31
2918001,7,2000-12-31
2918357,1,2000-12-31
2918407,4,2000-12-31
2918506,2,2000-12-31
2918753,1,2000-12-31
2919157,1,2000-12-31
2919504,15,2000-12-31
2919801,7,2000-12-31
2920809,1,2000-12-31
2921203,4,2000-12-31
2921401,2,2000-12-31
2921500,2,2000-12-31
2921708,7,2000-12-31
2922052,4,2000-12-31
2922904,3,2000-12-31
2923035,3,2000-12-31
2923100,2,2000-12-31
2923209,1,2000-12-31
2923506,5,2000-12-31
2923605,8,2000-12-31
2923704,2,2000-12-31
2924009,3,2000-12-31
2924058,3,2000-12-31
2924801,4,2000-12-31
2925204,1,2000-12-31
2925600,6,2000-12-31
2925907,2,2000-12-31
2925956,4,2000-12-31
2926301,4,2000-12-31
2926400,9,2000-12-31
2926608,2,2000-12-31
2926707,2,2000-12-31
2927200,4,2000-12-31
2927408,55,2000-12-31
2927507,8,2000-12-31
2928000,4,2000-12-31
2928109,2,2000-12-31
2928307,5,2000-12-31
2928505,3,2000-12-31
2928703,1,2000-12-31
2928802,2,2000-12-31
2929008,1,2000-12-31
2929255,12,2000-12-31
2929305,1,2000-12-31
2929701,1,2000-12-31
2929750,3,2000-12-31
2929800,4,2000-12-31
2929909,1,2000-12-31
2930105,2,2000-12-31
2930402,5,2000-12-31
2930501,2,2000-12-31
2931004,1,2000-12-31
2931103,4,2000-12-31
2931905,3,2000-12-31
2932408,10,2000-12-31
2932606,11,2000-12-31
2933000,3,2000-12-31
2933307,7,2000-12-31
2933406,1,2000-12-31
2933604,3,2000-12-31
3106200,45,2000-12-31
3106705,1,2000-12-31
3109006,1,2000-12-31
3110004,1,2000-12-31
3118106,1,2000-12-31
3129806,7,2000-12-31
3143302,24,2000-12-31
3144805,1,2000-12-31
3146107,2,2000-12-31
3153905,1,2000-12-31
3154606,2,2000-12-31
3156700,2,2000-12-31
3157807,8,2000-12-31
3170800,8,2000-12-31
3203809,1,2000-12-31
3205309,4,2000-12-31
3304557,3,2000-12-31
3502804,33,2000-12-31
3503208,1,2000-12-31
3506359,1,2000-12-31
3506409,1,2000-12-31
3506508,6,2000-12-31
3509502,5,2000-12-31
3511102,2,2000-12-31
3512506,1,2000-12-31
3516200,1,2000-12-31
