geocode,valor,data
11,2,2004-12-31
11,1,2005-12-31
11,4,2007-12-31
11,1,2011-12-31
11,5,2012-12-31
11,3,2013-12-31
11,3,2014-12-31
11,4,2016-12-31
11,4,2019-12-31
11,2,2020-12-31
11,6,2022-12-31
12,1,2008-12-31
13,2,2000-12-31
13,9,2002-12-31
13,3,2003-12-31
13,5,2004-12-31
13,5,2005-12-31
13,2,2006-12-31
13,3,2007-12-31
13,4,2008-12-31
13,3,2009-12-31
13,2,2010-12-31
13,2,2011-12-31
13,6,2012-12-31
13,3,2013-12-31
13,2,2014-12-31
13,1,2015-12-31
13,19,2016-12-31
13,3,2017-12-31
13,3,2018-12-31
13,3,2019-12-31
13,2,2020-12-31
13,4,2021-12-31
13,3,2022-12-31
14,14,2000-12-31
14,14,2001-12-31
14,19,2002-12-31
14,65,2003-12-31
14,70,2004-12-31
14,75,2005-12-31
14,62,2006-12-31
14,30,2007-12-31
14,41,2008-12-31
14,62,2009-12-31
14,75,2010-12-31
14,67,2011-12-31
14,79,2012-12-31
14,121,2013-12-31
14,157,2014-12-31
14,93,2015-12-31
14,140,2016-12-31
14,91,2017-12-31
14,74,2018-12-31
14,66,2019-12-31
14,31,2020-12-31
14,35,2021-12-31
14,40,2022-12-31
15,149,2000-12-31
15,257,2001-12-31
15,479,2002-12-31
15,648,2003-12-31
15,835,2004-12-31
15,1211,2005-12-31
15,1485,2006-12-31
15,1297,2007-12-31
15,1237,2008-12-31
15,1362,2009-12-31
15,1091,2010-12-31
15,1469,2011-12-31
15,1463,2012-12-31
15,1568,2013-12-31
15,1332,2014-12-31
15,1189,2015-12-31
15,1201,2016-12-31
15,1881,2017-12-31
15,1888,2018-12-31
15,1447,2019-12-31
15,1051,2020-12-31
15,1140,2021-12-31
15,1094,2022-12-31
16,1,2001-12-31
16,1,2002-12-31
16,2,2003-12-31
16,2,2006-12-31
16,1,2007-12-31
16,2,2008-12-31
16,1,2009-12-31
16,2,2010-12-31
16,2,2011-12-31
16,1,2012-12-31
16,8,2013-12-31
16,8,2014-12-31
16,2,2015-12-31
16,10,2016-12-31
16,5,2017-12-31
16,19,2018-12-31
16,7,2019-12-31
16,6,2020-12-31
16,5,2021-12-31
16,13,2022-12-31
17,159,2000-12-31
17,291,2001-12-31
17,324,2002-12-31
17,727,2003-12-31
17,486,2004-12-31
17,450,2005-12-31
17,726,2006-12-31
17,1323,2007-12-31
17,1680,2008-12-31
17,1799,2009-12-31
17,1426,2010-12-31
17,2067,2011-12-31
17,2479,2012-12-31
17,2265,2013-12-31
17,1690,2014-12-31
17,1655,2015-12-31
17,1485,2016-12-31
17,1659,2017-12-31
17,1458,2018-12-31
17,1520,2019-12-31
17,820,2020-12-31
17,795,2021-12-31
17,950,2022-12-31
21,907,2000-12-31
21,685,2001-12-31
21,620,2002-12-31
21,829,2003-12-31
21,552,2004-12-31
21,721,2005-12-31
21,747,2006-12-31
21,677,2007-12-31
21,772,2008-12-31
21,742,2009-12-31
21,618,2010-12-31
21,632,2011-12-31
21,427,2012-12-31
21,927,2013-12-31
21,779,2014-12-31
21,780,2015-12-31
21,941,2016-12-31
21,1140,2017-12-31
21,1061,2018-12-31
21,637,2019-12-31
21,526,2020-12-31
21,430,2021-12-31
21,563,2022-12-31
22,240,2000-12-31
22,170,2001-12-31
22,234,2002-12-31
22,471,2003-12-31
22,622,2004-12-31
22,548,2005-12-31
22,529,2006-12-31
22,415,2007-12-31
22,532,2008-12-31
22,385,2009-12-31
22,313,2010-12-31
22,365,2011-12-31
22,337,2012-12-31
22,443,2013-12-31
22,539,2014-12-31
22,448,2015-12-31
22,331,2016-12-31
22,343,2017-12-31
22,296,2018-12-31
22,267,2019-12-31
22,169,2020-12-31
22,199,2021-12-31
22,205,2022-12-31
23,122,2000-12-31
23,367,2001-12-31
23,318,2002-12-31
23,307,2003-12-31
23,449,2004-12-31
23,520,2005-12-31
23,876,2006-12-31
23,727,2007-12-31
23,769,2008-12-31
23,1008,2009-12-31
23,815,2010-12-31
23,960,2011-12-31
23,839,2012-12-31
23,873,2013-12-31
23,1093,2014-12-31
23,1006,2015-12-31
23,886,2016-12-31
23,856,2017-12-31
23,902,2018-12-31
23,781,2019-12-31
23,496,2020-12-31
23,519,2021-12-31
23,635,2022-12-31
24,366,2000-12-31
24,217,2001-12-31
24,136,2002-12-31
24,103,2003-12-31
24,80,2004-12-31
24,61,2005-12-31
24,92,2006-12-31
24,94,2007-12-31
24,117,2008-12-31
24,126,2009-12-31
24,116,2010-12-31
24,172,2011-12-31
24,159,2012-12-31
24,118,2013-12-31
24,157,2014-12-31
24,140,2015-12-31
