geocode,valor,data
1702000,1,2004-12-31
1705508,3,2004-12-31
1707652,1,2004-12-31
1712009,2,2004-12-31
1713809,1,2004-12-31
1720101,17,2004-12-31
2106706,1,2004-12-31
2200053,1,2004-12-31
2200400,1,2004-12-31
2200608,4,2004-12-31
2201200,8,2004-12-31
2201408,1,2004-12-31
2201739,1,2004-12-31
2202174,105,2004-12-31
2202653,1,2004-12-31
2203909,2,2004-12-31
2204659,1,2004-12-31
2205102,2,2004-12-31
2205409,19,2004-12-31
2205573,1,2004-12-31
2205706,1,2004-12-31
2205805,9,2004-12-31
2205854,9,2004-12-31
2206100,7,2004-12-31
2206209,1,2004-12-31
2206407,4,2004-12-31
2207108,1,2004-12-31
2207702,2,2004-12-31
2207900,2,2004-12-31
2208304,1,2004-12-31
2208403,3,2004-12-31
2208502,13,2004-12-31
2210052,1,2004-12-31
2211001,16,2004-12-31
2300200,1,2004-12-31
2300408,1,2004-12-31
2302305,3,2004-12-31
2302503,1,2004-12-31
2302701,1,2004-12-31
2303402,6,2004-12-31
2304103,5,2004-12-31
2304202,5,2004-12-31
2304251,1,2004-12-31
2304400,42,2004-12-31
2304954,1,2004-12-31
2305308,1,2004-12-31
2306405,3,2004-12-31
2307007,1,2004-12-31
2307650,1,2004-12-31
2308005,1,2004-12-31
2309201,4,2004-12-31
2309409,4,2004-12-31
2309607,2,2004-12-31
2310258,1,2004-12-31
2311900,1,2004-12-31
2312809,1,2004-12-31
2312908,6,2004-12-31
2313302,1,2004-12-31
2313401,4,2004-12-31
2313609,2,2004-12-31
2314102,33,2004-12-31
2403103,2,2004-12-31
2408003,1,2004-12-31
2408102,10,2004-12-31
2504009,3,2004-12-31
2507507,6,2004-12-31
2509396,1,2004-12-31
2601102,1,2004-12-31
2601201,1,2004-12-31
2603009,8,2004-12-31
2603702,2,2004-12-31
2604106,3,2004-12-31
2605905,1,2004-12-31
2608255,1,2004-12-31
2609808,11,2004-12-31
2611101,4,2004-12-31
2611606,10,2004-12-31
2612208,1,2004-12-31
2704302,16,2004-12-31
2705101,1,2004-12-31
2708006,1,2004-12-31
2800308,3,2004-12-31
2804805,1,2004-12-31
2900702,2,2004-12-31
2901403,1,2004-12-31
2903201,1,2004-12-31
2903904,1,2004-12-31
2905206,1,2004-12-31
2906006,1,2004-12-31
2906204,2,2004-12-31
2908002,1,2004-12-31
2910727,1,2004-12-31
2910800,7,2004-12-31
2911105,1,2004-12-31
2913606,2,2004-12-31
2918001,4,2004-12-31
2918407,4,2004-12-31
2921104,3,2004-12-31
2924603,1,2004-12-31
2925303,1,2004-12-31
2927408,14,2004-12-31
2929008,1,2004-12-31
2930501,1,2004-12-31
2931004,1,2004-12-31
2931350,2,2004-12-31
3100104,1,2004-12-31
3101102,5,2004-12-31
3103504,2,2004-12-31
3103900,3,2004-12-31
3104205,1,2004-12-31
3104502,2,2004-12-31
3106200,147,2004-12-31
3106705,1,2004-12-31
3107406,2,2004-12-31
3109303,1,2004-12-31
3110509,1,2004-12-31
3112604,1,2004-12-31
3113404,4,2004-12-31
3115805,3,2004-12-31
3117306,1,2004-12-31
3118304,1,2004-12-31
3118601,2,2004-12-31
3118809,1,2004-12-31
3119401,1,2004-12-31
3120839,1,2004-12-31
3120904,2,2004-12-31
3122207,2,2004-12-31
3122306,5,2004-12-31
3127107,2,2004-12-31
3127370,1,2004-12-31
3127701,13,2004-12-31
3131109,1,2004-12-31
3131158,1,2004-12-31
3131208,1,2004-12-31
3131307,6,2004-12-31
3131703,7,2004-12-31
3132701,1,2004-12-31
3133402,1,2004-12-31
3133600,1,2004-12-31
3134202,3,2004-12-31
3134400,2,2004-12-31
3135050,1,2004-12-31
3136207,3,2004-12-31
3136702,3,2004-12-31
3137205,1,2004-12-31
3137502,1,2004-12-31
3139409,1,2004-12-31
3139607,3,2004-12-31
3144003,1,2004-12-31
3145604,1,2004-12-31
3145901,1,2004-12-31
3146305,3,2004-12-31
3147006,1,2004-12-31
3147907,4,2004-12-31
3148004,15,2004-12-31
3151404,1,2004-12-31
3151800,4,2004-12-31
3152204,1,2004-12-31
3152501,4,2004-12-31
3154002,1,2004-12-31
3154309,1,2004-12-31
3154457,1,2004-12-31
3155306,2,2004-12-31
3156908,2,2004-12-31
3157252,6,2004-12-31
3157708,1,2004-12-31
3158201,1,2004-12-31
3160405,2,2004-12-31
3160702,1,2004-12-31
3161700,38,2004-12-31
3162104,1,2004-12-31
3162500,3,2004-12-31
3163607,1,2004-12-31
3164001,1,2004-12-31
3167202,19,2004-12-31
3167608,12,2004-12-31
3168606,2,2004-12-31
3169307,1,2004-12-31
3169356,1,2004-12-31
3170057,1,2004-12-31
3170107,2,2004-12-31
3170206,45,2004-12-31
3170701,4,2004-12-31
3171501,1,2004-12-31
3200169,4,2004-12-31
3200409,13,2004-12-31
3200607,5,2004-12-31
3200805,1,2004-12-31
3200904,18,2004-12-31
3201001,1,2004-12-31
3201308,14,2004-12-31
3201506,8,2004-12-31
3201902,12,2004-12-31
3202108,2,2004-12-31
3202256,36,2004-12-31
3202405,5,2004-12-31
3202454,6,2004-12-31
3202504,14,2004-12-31
3202702,2,2004-12-31
3202900,7,2004-12-31
3203007,1,2004-12-31
3203130,8,2004-12-31
3203163,1,2004-12-31
3203205,218,2004-12-31
3203320,1,2004-12-31
3203346,2,2004-12-31
3203353,1,2004-12-31
3203502,1,2004-12-31
3203601,1,2004-12-31
3203809,2,2004-12-31
3203908,7,2004-12-31
3204005,7,2004-12-31
3204054,32,2004-12-31
3204104,2,2004-12-31
3204351,79,2004-12-31
3204401,11,2004-12-31
3204500,4,2004-12-31
3204559,3,2004-12-31
3204609,18,2004-12-31
3204658,2,2004-12-31
3204708,1,2004-12-31
3204906,115,2004-12-31
3205002,33,2004-12-31
3205036,1,2004-12-31
3205101,3,2004-12-31
3205150,3,2004-12-31
3205176,3,2004-12-31
3205200,8,2004-12-31
3205309,46,2004-12-31
3300100,2,2004-12-31
3300209,3,2004-12-31
3300803,2,2004-12-31
3302007,1,2004-12-31
3302205,1,2004-12-31
3302403,1,2004-12-31
3303005,1,2004-12-31
3303302,4,2004-12-31
3303500,6,2004-12-31
3303609,1,2004-12-31
3303807,2,2004-12-31
3303906,4,2004-12-31
3304524,1,2004-12-31
3304557,267,2004-12-31
3304904,2,2004-12-31
3305109,3,2004-12-31
3306206,1,2004-12-31
3306305,2,2004-12-31
3500550,1,2004-12-31
3505708,1,2004-12-31
3509502,67,2004-12-31
3509601,1,2004-12-31
3511102,1,2004-12-31
3513504,2,2004-12-31
3516200,3,2004-12-31
3516309,1,2004-12-31
3516408,1,2004-12-31
3518701,3,2004-12-31
3518800,1,2004-12-31
3519709,1,2004-12-31
3522307,1,2004-12-31
3523107,1,2004-12-31
3523206,1,2004-12-31
3524808,1,2004-12-31
3525904,1,2004-12-31
3528700,1,2004-12-31
3529005,55,2004-12-31
3529401,1,2004-12-31
3530508,1,2004-12-31
3534401,2,2004-12-31
3534906,1,2004-12-31
3536208,3,2004-12-31
3538709,1,2004-12-31
3539202,1,2004-12-31
3540309,1,2004-12-31
3541000,1,2004-12-31
3541406,7,2004-12-31
3541505,2,2004-12-31
3543402,49,2004-12-31
3543907,1,2004-12-31
3544251,3,2004-12-31
3546603,1,2004-12-31
3547809,2,2004-12-31
3548500,7,2004-12-31
3548708,2,2004-12-31
3549409,1,2004-12-31
3549805,16,2004-12-31
3549904,4,2004-12-31
3550308,116,2004-12-31
3552205,14,2004-12-31
3552304,1,2004-12-31
3552502,1,2004-12-31
3553401,1,2004-12-31
3553500,1,2004-12-31
3554003,1,2004-12-31
3554904,2,2004-12-31
3555109,1,2004-12-31
3555406,1,2004-12-31
3555802,3,2004-12-31
4101408,2,2004-12-31
4101507,1,2004-12-31
4101804,1,2004-12-31
4102000,1,2004-12-31
4102752,1,2004-12-31
4103156,1,2004-12-31
4103453,1,2004-12-31
4103701,1,2004-12-31
4103909,1,2004-12-31
4104303,7,2004-12-31
4104501,1,2004-12-31
4104808,25,2004-12-31
4106209,1,2004-12-31
4106407,2,2004-12-31
4106902,37,2004-12-31
4107207,1,2004-12-31
4108304,171,2004-12-31
4108403,2,2004-12-31
4108601,2,2004-12-31
4108809,7,2004-12-31
4109500,3,2004-12-31
4109906,1,2004-12-31
4110953,10,2004-12-31
4111506,2,2004-12-31
4111803,1,2004-12-31
4112959,1,2004-12-31
4113304,1,2004-12-31
4113502,2,2004-12-31
4113700,8,2004-12-31
4114005,2,2004-12-31
4114104,1,2004-12-31
4114203,2,2004-12-31
4114609,3,2004-12-31
4115101,1,2004-12-31
4115200,16,2004-12-31
4115358,1,2004-12-31
4115804,1,2004-12-31
4116703,1,2004-12-31
4116802,1,2004-12-31
4117107,1,2004-12-31
4117305,1,2004-12-31
4117800,1,2004-12-31
4117909,1,2004-12-31
4118204,7,2004-12-31
4118402,4,2004-12-31
4118501,2,2004-12-31
4119806,1,2004-12-31
4119905,1,2004-12-31
4119954,1,2004-12-31
4120358,2,2004-12-31
4120606,2,2004-12-31
4121109,1,2004-12-31
4123006,1,2004-12-31
4123402,1,2004-12-31
4123501,1,2004-12-31
4124053,1,2004-12-31
4125704,128,2004-12-31
4126256,1,2004-12-31
4127106,2,2004-12-31
4127700,6,2004-12-31
4128005,3,2004-12-31
4128104,3,2004-12-31
4128203,1,2004-12-31
4128559,1,2004-12-31
4200408,1,2004-12-31
4201257,4,2004-12-31
4202008,12,2004-12-31
4202107,1,2004-12-31
4202404,5,2004-12-31
4202602,1,2004-12-31
4202800,2,2004-12-31
4202909,2,2004-12-31
4203006,1,2004-12-31
4203600,2,2004-12-31
4203808,2,2004-12-31
4203956,1,2004-12-31
4204202,4,2004-12-31
4204301,6,2004-12-31
4204608,4,2004-12-31
4204707,1,2004-12-31
4205159,1,2004-12-31
4205407,5,2004-12-31
