geocode,valor,data
13,2,2008-12-31
15,4,2007-12-31
17,25,2004-12-31
17,1,2006-12-31
17,3,2007-12-31
17,29,2008-12-31
21,1,2004-12-31
21,3,2007-12-31
21,4,2008-12-31
21,4,2009-12-31
22,217,2004-12-31
22,231,2005-12-31
22,610,2006-12-31
22,201,2007-12-31
22,109,2008-12-31
22,229,2009-12-31
22,470,2010-12-31
22,168,2011-12-31
22,179,2012-12-31
22,790,2013-12-31
22,89,2014-12-31
22,29,2015-12-31
22,68,2016-12-31
22,71,2017-12-31
22,74,2018-12-31
22,85,2019-12-31
22,30,2020-12-31
22,248,2021-12-31
22,211,2022-12-31
22,99,2023-12-31
23,133,2004-12-31
23,191,2005-12-31
23,116,2006-12-31
23,163,2007-12-31
23,100,2008-12-31
23,71,2009-12-31
23,94,2010-12-31
23,56,2011-12-31
23,73,2012-12-31
23,68,2013-12-31
23,75,2014-12-31
23,34,2015-12-31
23,64,2016-12-31
23,58,2017-12-31
23,34,2018-12-31
23,71,2019-12-31
23,14,2020-12-31
23,39,2021-12-31
23,24,2022-12-31
23,34,2023-12-31
24,13,2004-12-31
24,28,2005-12-31
24,24,2006-12-31
24,10,2007-12-31
24,17,2008-12-31
24,34,2009-12-31
24,25,2010-12-31
24,27,2011-12-31
24,33,2012-12-31
24,23,2013-12-31
24,17,2014-12-31
24,23,2015-12-31
24,9,2016-12-31
24,16,2017-12-31
24,15,2018-12-31
24,19,2019-12-31
24,4,2020-12-31
24,3,2021-12-31
24,18,2022-12-31
24,18,2023-12-31
25,10,2004-12-31
25,23,2005-12-31
25,14,2006-12-31
25,3,2007-12-31
25,4,2008-12-31
25,15,2009-12-31
25,25,2010-12-31
25,20,2011-12-31
25,20,2012-12-31
25,18,2013-12-31
25,9,2014-12-31
25,21,2015-12-31
25,5,2016-12-31
25,11,2017-12-31
25,17,2018-12-31
25,949,2019-12-31
25,1189,2020-12-31
25,10,2021-12-31
25,6,2022-12-31
25,39,2023-12-31
26,43,2004-12-31
26,35,2005-12-31
26,17,2006-12-31
26,46,2007-12-31
26,136,2008-12-31
26,165,2009-12-31
26,109,2010-12-31
26,83,2011-12-31
26,126,2012-12-31
26,328,2013-12-31
26,80,2014-12-31
26,92,2015-12-31
26,35,2016-12-31
26,36,2017-12-31
26,51,2018-12-31
26,56,2019-12-31
26,26,2020-12-31
26,13,2021-12-31
26,23,2022-12-31
26,26,2023-12-31
27,18,2004-12-31
27,6,2005-12-31
27,4,2006-12-31
27,6,2007-12-31
27,7,2008-12-31
27,12,2009-12-31
27,9,2010-12-31
27,8,2011-12-31
27,9,2012-12-31
27,8,2013-12-31
27,5,2014-12-31
27,5,2015-12-31
27,2,2016-12-31
27,8,2017-12-31
27,5,2018-12-31
27,3,2019-12-31
27,3,2020-12-31
27,10,2021-12-31
27,6,2022-12-31
27,7,2023-12-31
28,4,2004-12-31
28,9,2005-12-31
28,5,2006-12-31
28,4,2007-12-31
28,5,2008-12-31
28,8,2009-12-31
28,8,2010-12-31
28,15,2011-12-31
28,11,2012-12-31
28,5,2013-12-31
28,8,2014-12-31
28,6,2015-12-31
28,7,2016-12-31
28,2,2017-12-31
28,5,2018-12-31
28,3,2019-12-31
28,1,2020-12-31
28,3,2021-12-31
28,32,2022-12-31
28,5,2023-12-31
29,53,2004-12-31
29,69,2005-12-31
29,59,2006-12-31
29,67,2007-12-31
29,70,2008-12-31
29,67,2009-12-31
29,85,2010-12-31
29,48,2011-12-31
29,26,2012-12-31
29,36,2013-12-31
29,62,2014-12-31
29,34,2015-12-31
29,45,2016-12-31
29,22,2017-12-31
29,2587,2018-12-31
29,86,2019-12-31
29,71,2020-12-31
29,1218,2021-12-31
29,1101,2022-12-31
29,94,2023-12-31
31,429,2004-12-31
31,654,2005-12-31
31,373,2006-12-31
31,364,2007-12-31
31,330,2008-12-31
31,268,2009-12-31
31,337,2010-12-31
31,411,2011-12-31
31,412,2012-12-31
31,298,2013-12-31
31,227,2014-12-31
31,170,2015-12-31
31,177,2016-12-31
31,303,2017-12-31
31,223,2018-12-31
31,1013,2019-12-31
31,244,2020-12-31
31,465,2021-12-31
31,119,2022-12-31
31,419,2023-12-31
32,762,2004-12-31
32,1040,2005-12-31
32,414,2006-12-31
32,377,2007-12-31
32,436,2008-12-31
32,183,2009-12-31
32,399,2010-12-31
32,314,2011-12-31
32,640,2012-12-31
32,384,2013-12-31
32,376,2014-12-31
32,384,2015-12-31
32,239,2016-12-31
32,395,2017-12-31
32,3558,2018-12-31
32,677,2019-12-31
32,10,2020-12-31
33,304,2004-12-31
33,347,2005-12-31
33,318,2006-12-31
33,301,2007-12-31
33,163,2008-12-31
33,175,2009-12-31
33,224,2010-12-31
33,244,2011-12-31
33,355,2012-12-31
33,339,2013-12-31
33,251,2014-12-31
33,259,2015-12-31
33,186,2016-12-31
33,289,2017-12-31
33,346,2018-12-31
33,282,2019-12-31
33,134,2020-12-31
33,110,2021-12-31
33,175,2022-12-31
33,220,2023-12-31
35,393,2004-12-31
35,548,2005-12-31
35,635,2006-12-31
35,452,2007-12-31
35,310,2008-12-31
35,527,2009-12-31
35,421,2010-12-31
35,447,2011-12-31
35,669,2012-12-31
35,442,2013-12-31
35,457,2014-12-31
35,259,2015-12-31
35,237,2016-12-31
35,240,2017-12-31
35,400,2018-12-31
35,211,2019-12-31
35,122,2020-12-31
35,262,2021-12-31
35,285,2022-12-31
35,295,2023-12-31
41,498,2004-12-31
41,439,2005-12-31
41,364,2006-12-31
41,893,2007-12-31
41,348,2008-12-31
41,399,2009-12-31
41,353,2010-12-31
41,446,2011-12-31
41,196,2012-12-31
41,157,2013-12-31
41,154,2014-12-31
41,155,2015-12-31
41,73,2016-12-31
41,80,2017-12-31
41,129,2018-12-31
41,169,2019-12-31
41,74,2020-12-31
41,82,2021-12-31
41,90,2022-12-31
41,133,2023-12-31
42,157,2004-12-31
42,191,2005-12-31
42,149,2006-12-31
42,132,2007-12-31
42,81,2008-12-31
42,73,2009-12-31
42,106,2010-12-31
42,100,2011-12-31
42,127,2012-12-31
42,128,2013-12-31
42,98,2014-12-31
42,178,2015-12-31
42,74,2016-12-31
42,85,2017-12-31
42,102,2018-12-31
42,114,2019-12-31
42,65,2020-12-31
42,237,2021-12-31
42,240,2022-12-31
42,481,2023-12-31
43,70,2004-12-31
43,75,2005-12-31
43,68,2006-12-31
43,55,2007-12-31
43,38,2008-12-31
43,25,2009-12-31
43,43,2010-12-31
43,35,2011-12-31
43,44,2012-12-31
43,29,2013-12-31
43,53,2014-12-31
43,42,2015-12-31
43,38,2016-12-31
43,25,2017-12-31
43,61,2018-12-31
43,55,2019-12-31
43,31,2020-12-31
43,31,2021-12-31
43,47,2022-12-31
43,49,2023-12-31
50,144,2004-12-31
50,183,2005-12-31
50,148,2006-12-31
50,123,2007-12-31
50,107,2008-12-31
50,73,2009-12-31
50,47,2010-12-31
50,49,2011-12-31
50,47,2012-12-31
50,35,2013-12-31
50,28,2014-12-31
50,19,2015-12-31
50,16,2016-12-31
50,28,2017-12-31
50,24,2018-12-31
50,26,2019-12-31
50,18,2020-12-31
50,27,2021-12-31
50,29,2022-12-31
50,27,2023-12-31
51,1,2004-12-31
51,3,2007-12-31
51,3,2008-12-31
52,383,2004-12-31
52,448,2005-12-31
52,308,2006-12-31
52,256,2007-12-31
52,190,2008-12-31
52,183,2009-12-31
52,226,2010-12-31
52,140,2011-12-31
52,142,2012-12-31
52,100,2013-12-31
52,291,2014-12-31
52,223,2015-12-31
52,133,2016-12-31
52,112,2017-12-31
52,87,2018-12-31
52,99,2019-12-31
52,85,2020-12-31
52,217,2021-12-31
52,398,2022-12-31
52,752,2023-12-31
53,74,2004-12-31
53,81,2005-12-31
53,69,2006-12-31
53,55,2007-12-31
53,50,2008-12-31
53,43,2009-12-31
53,60,2010-12-31
53,60,2011-12-31
53,113,2012-12-31
53,155,2013-12-31
53,63,2014-12-31
53,141,2015-12-31
53,145,2016-12-31
53,172,2017-12-31
53,221,2018-12-31
53,301,2019-12-31
53,114,2020-12-31
53,253,2021-12-31
53,308,2022-12-31
53,459,2023-12-31
