geocode,valor,data
1100452,1,2007-12-31
1101807,1,2007-12-31
1300631,1,2007-12-31
1505304,1,2007-12-31
2104305,1,2007-12-31
2106003,3,2007-12-31
2106326,3,2007-12-31
2109452,1,2007-12-31
2110807,1,2007-12-31
2111300,1,2007-12-31
2201606,1,2007-12-31
2209757,2,2007-12-31
2304301,2,2007-12-31
2304400,1,2007-12-31
2308104,2,2007-12-31
2310100,4,2007-12-31
2312601,4,2007-12-31
2602001,1,2007-12-31
2604106,1,2007-12-31
2606002,1,2007-12-31
2611606,1,2007-12-31
2611804,2,2007-12-31
2616001,1,2007-12-31
3301306,1,2007-12-31
3305703,3,2007-12-31
3507506,1,2007-12-31
3521903,3,2007-12-31
3527405,1,2007-12-31
3527900,2,2007-12-31
3528403,2,2007-12-31
3537107,1,2007-12-31
3543907,5,2007-12-31
3549805,1,2007-12-31
3550308,6,2007-12-31
3556354,1,2007-12-31
4107207,1,2007-12-31
4202453,1,2007-12-31
4305207,1,2007-12-31
4313375,2,2007-12-31
4314100,1,2007-12-31
4314555,1,2007-12-31
4319208,1,2007-12-31
4323754,1,2007-12-31
5201801,3,2007-12-31
5208301,1,2007-12-31
5208707,1,2007-12-31
5213855,1,2007-12-31
5214903,1,2007-12-31
5215603,1,2007-12-31
5215900,5,2007-12-31
5219407,1,2007-12-31
5221197,23,2007-12-31
1100106,1,2008-12-31
1304104,1,2008-12-31
1503606,1,2008-12-31
1506138,1,2008-12-31
2205565,1,2008-12-31
2209104,2,2008-12-31
2304301,1,2008-12-31
2304400,1,2008-12-31
2308351,3,2008-12-31
2311702,12,2008-12-31
2410702,1,2008-12-31
2411007,1,2008-12-31
2412559,2,2008-12-31
2600500,1,2008-12-31
2611606,1,2008-12-31
3106200,1,2008-12-31
3204500,3,2008-12-31
3501905,2,2008-12-31
3504909,1,2008-12-31
3506359,1,2008-12-31
3509502,1,2008-12-31
3530607,1,2008-12-31
3539806,2,2008-12-31
3546900,1,2008-12-31
3549805,1,2008-12-31
3550308,1,2008-12-31
3550704,3,2008-12-31
4106902,1,2008-12-31
4306767,4,2008-12-31
4316956,1,2008-12-31
5102637,1,2008-12-31
5103304,1,2008-12-31
5106273,1,2008-12-31
5201108,1,2008-12-31
5204250,2,2008-12-31
5213103,1,2008-12-31
5215900,2,2008-12-31
5220009,3,2008-12-31
5221007,1,2008-12-31
5221197,2,2008-12-31
5221551,2,2008-12-31
5300108,1,2008-12-31
1400308,2,2009-12-31
1502806,1,2009-12-31
1507508,6,2009-12-31
2100055,1,2009-12-31
2100402,1,2009-12-31
2102754,1,2009-12-31
2111300,1,2009-12-31
2112902,1,2009-12-31
2205276,1,2009-12-31
2211001,1,2009-12-31
2307635,1,2009-12-31
2401404,1,2009-12-31
2414803,3,2009-12-31
2502052,2,2009-12-31
2609907,1,2009-12-31
2800308,1,2009-12-31
2919900,1,2009-12-31
3304755,1,2009-12-31
3501905,1,2009-12-31
3519055,7,2009-12-31
3529500,1,2009-12-31
3537107,1,2009-12-31
3539103,1,2009-12-31
3541406,2,2009-12-31
3550308,2,2009-12-31
4318002,1,2009-12-31
5101001,1,2009-12-31
5108352,1,2009-12-31
5108907,1,2009-12-31
5200506,1,2009-12-31
5214101,1,2009-12-31
5220009,1,2009-12-31
5221908,1,2009-12-31
1400282,3,2010-12-31
1400704,3,2010-12-31
1502806,1,2010-12-31
2108603,1,2010-12-31
2110104,1,2010-12-31
2111300,2,2010-12-31
2304400,2,2010-12-31
2400703,1,2010-12-31
