geocode,valor,data
11,2,2007-12-31
11,1,2008-12-31
11,1,2011-12-31
11,1,2014-12-31
11,1,2021-12-31
13,1,2007-12-31
13,1,2008-12-31
13,5,2012-12-31
13,1,2013-12-31
13,1,2015-12-31
13,1,2016-12-31
13,3,2017-12-31
13,1,2018-12-31
14,2,2009-12-31
14,6,2010-12-31
14,4,2011-12-31
14,1,2012-12-31
14,1,2016-12-31
14,1,2019-12-31
15,1,2007-12-31
15,2,2008-12-31
15,7,2009-12-31
15,1,2010-12-31
15,5,2011-12-31
15,12,2018-12-31
15,1,2019-12-31
15,1,2020-12-31
15,1,2021-12-31
16,1,2012-12-31
16,3,2013-12-31
16,1,2014-12-31
16,1,2017-12-31
16,1,2020-12-31
16,6,2021-12-31
17,1,2011-12-31
17,2,2017-12-31
17,6,2018-12-31
17,1,2019-12-31
17,3,2020-12-31
17,1,2021-12-31
21,10,2007-12-31
21,5,2009-12-31
21,4,2010-12-31
21,13,2011-12-31
21,2,2012-12-31
21,6,2013-12-31
21,1,2014-12-31
21,3,2016-12-31
21,20,2017-12-31
21,1,2020-12-31
21,16,2021-12-31
22,3,2007-12-31
22,3,2008-12-31
22,2,2009-12-31
22,2,2011-12-31
22,2,2012-12-31
22,3,2013-12-31
22,2,2014-12-31
22,1,2016-12-31
22,8,2018-12-31
22,2,2019-12-31
22,3,2020-12-31
22,13,2021-12-31
23,13,2007-12-31
23,17,2008-12-31
23,1,2009-12-31
23,2,2010-12-31
23,1,2011-12-31
23,11,2012-12-31
23,4,2013-12-31
23,2,2014-12-31
23,2,2016-12-31
23,2,2019-12-31
24,4,2008-12-31
24,4,2009-12-31
24,6,2010-12-31
24,3,2011-12-31
24,2,2012-12-31
24,1,2013-12-31
24,3,2014-12-31
24,1,2015-12-31
24,4,2016-12-31
24,3,2017-12-31
24,12,2018-12-31
24,20,2019-12-31
24,3,2020-12-31
24,8,2021-12-31
25,2,2009-12-31
25,1,2010-12-31
25,3,2011-12-31
25,5,2012-12-31
25,6,2013-12-31
25,6,2014-12-31
25,3,2015-12-31
25,10,2016-12-31
25,29,2017-12-31
25,24,2018-12-31
25,3,2019-12-31
25,2,2020-12-31
26,7,2007-12-31
26,2,2008-12-31
26,1,2009-12-31
26,4,2011-12-31
26,3,2014-12-31
26,3,2015-12-31
26,11,2017-12-31
26,3,2021-12-31
27,1,2011-12-31
27,1,2013-12-31
27,2,2018-12-31
28,1,2009-12-31
29,1,2009-12-31
29,1,2011-12-31
29,4,2012-12-31
29,2,2013-12-31
29,1,2014-12-31
29,1,2017-12-31
29,9,2018-12-31
29,9,2019-12-31
29,1,2020-12-31
29,1,2021-12-31
31,1,2008-12-31
31,1,2011-12-31
31,3,2012-12-31
31,2,2013-12-31
31,2,2014-12-31
31,2,2016-12-31
31,16,2017-12-31
31,5,2018-12-31
31,32,2019-12-31
31,19,2020-12-31
31,57,2021-12-31
32,3,2008-12-31
32,2,2010-12-31
32,3,2011-12-31
32,1,2013-12-31
32,6,2015-12-31
32,50,2016-12-31
32,2,2017-12-31
32,4,2019-12-31
33,4,2007-12-31
33,1,2009-12-31
33,1,2010-12-31
33,14,2011-12-31
33,1,2013-12-31
33,7,2014-12-31
33,2,2015-12-31
33,4,2016-12-31
33,3,2017-12-31
33,2,2018-12-31
33,4,2019-12-31
33,1,2020-12-31
33,6,2021-12-31
35,23,2007-12-31
35,14,2008-12-31
35,15,2009-12-31
35,32,2010-12-31
35,23,2011-12-31
35,17,2012-12-31
35,19,2013-12-31
35,19,2014-12-31
35,24,2015-12-31
35,11,2016-12-31
35,27,2017-12-31
35,56,2018-12-31
35,19,2019-12-31
35,49,2020-12-31
35,26,2021-12-31
41,1,2007-12-31
41,1,2008-12-31
41,1,2013-12-31
41,1,2014-12-31
41,1,2017-12-31
41,1,2018-12-31
41,3,2021-12-31
42,1,2007-12-31
42,1,2010-12-31
42,1,2012-12-31
42,1,2013-12-31
42,3,2015-12-31
42,1,2017-12-31
42,2,2019-12-31
42,24,2020-12-31
42,5,2021-12-31
43,7,2007-12-31
43,5,2008-12-31
43,1,2009-12-31
43,1,2012-12-31
43,1,2015-12-31
43,1,2017-12-31
43,2,2018-12-31
43,4,2019-12-31
43,2,2020-12-31
43,3,2021-12-31
50,3,2013-12-31
50,7,2014-12-31
50,17,2015-12-31
50,1,2016-12-31
50,5,2017-12-31
50,22,2018-12-31
50,13,2019-12-31
50,8,2020-12-31
50,2,2021-12-31
51,3,2008-12-31
51,3,2009-12-31
51,10,2010-12-31
51,6,2011-12-31
51,12,2012-12-31
51,7,2013-12-31
51,8,2014-12-31
51,5,2015-12-31
51,13,2016-12-31
51,7,2017-12-31
51,10,2018-12-31
51,6,2019-12-31
51,4,2020-12-31
51,26,2021-12-31
52,37,2007-12-31
52,14,2008-12-31
52,4,2009-12-31
52,10,2010-12-31
52,9,2011-12-31
52,11,2012-12-31
52,10,2013-12-31
52,4,2014-12-31
52,4,2015-12-31
52,8,2016-12-31
52,95,2017-12-31
52,1,2018-12-31
52,4,2019-12-31
52,16,2020-12-31
52,18,2021-12-31
53,1,2008-12-31
53,1,2015-12-31
53,1,2018-12-31
53,10,2020-12-31
53,2,2021-12-31
